name,degrees,education,occupations,time_in_space,interests,nationality,age
Konstantin Feoktistov,Engineering; Doctorate in Physics,"Engineering (Bauman Moscow Higher Technical School, 1949); Doctorate in Physics (None, None)",Engineer; Cosmonaut; Professor,1d 00h 17m,,Soviet Union & Russia,
Konstantin Kozeyev,,"graduate student (Moscow Aviation Technology Institute, None)",Flight engineer; Cosmonaut,9d 19h 59min,,Russia,57
Laurel Clark,Bachelor of Science degree; Doctorate in Medicine,"Bachelor of Science in Zoology (University of Wisconsin–Madison, 1983); Doctorate in Medicine (University of Wisconsin–Madison, 1987)",NASA astronaut; Medical doctor; United States Navy captain; Space Shuttle mission specialist; Naval Flight Surgeon,"15 days, 22 hours and 21 minutes",,American,41
Lawrence J. DeLucas,Doctorate in Optometry; Doctorate in Biochemistry,"Doctorate in Optometry (University of Alabama at Birmingham, 1981); Doctorate in Biochemistry (University of Alabama at Birmingham, 1981)",Biochemist; Payload Specialist,13d 19h 30m,,American,75
Lee Joseph Archambault,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Aeronautical and Astronautical Engineering (University of Illinois at Urbana-Champaign, 1982); Master of Science in Aeronautical and Astronautical Engineering (University of Illinois at Urbana-Champaign, 1984)","Colonel, USAF; Test Pilot; NASA Astronaut",26d 15h 33m,bicycling; weightlifting; playing ice hockey,American,65
Lee Morin,Bachelor of Science degree; Master of Science degree; Doctorate of Medicine; Doctorate of Microbiology; Master's degree,"Bachelor of Science in Mathematical/Electrical science (University of New Hampshire, 1974); Master of Science in Biochemistry (New York University, 1978); Doctorate of Medicine (New York University School of Medicine, 1981); Doctorate of Microbiology (New York University, 1982); Master of Public Health (University of Alabama at Birmingham, 1988); Master in Science in Physics (University of Houston Clear Lake, 2008)","United States Navy Captain; NASA astronaut; Mission specialist; Naval Flight Surgeon; Undersea Medical Officer; Diving Medical Officer; Deputy Assistant Secretary for Health, Space, and Science","10 days, 19 hours and 42 minutes",math; jogging,United States,73
Leland D. Melvin,Bachelor's degree; Master of Science degree,"Bachelor's degree in Chemistry (University of Richmond, 1985); Master of Science degree in Materials Science Engineering (University of Virginia, 1989)",Engineer; Retired NASA astronaut; Mission specialist; NASA Associate Administrator for Education; Professional football player; Wide receiver,23d 13h 28m,photography; piano; reading; music; cycling; tennis; snowboarding; cooking; walking his two dogs,American,61
Leonid Kadenyuk,Pilot-Engineer; Test Pilot,"Pilot-Engineer (Chernihiv Higher Military Aviation School of Pilots, 1971); Test Pilot (Test Pilot Training Center, 1977); None (Moscow Aviation Institute, 1989)","Test pilot; Major General, Ukrainian Air Force; Cosmonaut; Deputy Inspector General of the General Military Inspectorate; Adviser to the Prime Minister of Ukraine; Chairman of the State Space Agency of Ukraine; President of the Aerospace Society of Ukraine; Member of Verkhovna Rada",15d 16h 34m,observing and photographing the Earth and space,Ukraine,
Leonid Kizim,,"None (Higher Air Force School, 1975)","Pilot; Colonel General, Soviet Air Force; Soviet Cosmonaut; Deputy Director Satellite Control-Center of the Russian Ministry of Defense; Director of the Military Engineering Academy of Aeronautics and Astronautics; Director of the A.F. Mozhaysky Military-Space Academy",374 days 17 hours 56 minutes,,Soviet,
Leonid Popov,,,Pilot,200d 14h 45m,,Ukrainian,80
Leroy Chiao,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"B.S. in chemical engineering (University of California, Berkeley, 1983); M.S. in chemical engineering (University of California, Santa Barbara, 1985); Ph.D. in chemical engineering (University of California, Santa Barbara, 1987)",Chemical engineer; Retired NASA astronaut; Entrepreneur; Motivational speaker; Engineering consultant,229d 7h 38m,flying; downhill skiing,United States,65
Lev Dyomin,Doctoral degree in engineering,"Doctoral degree in engineering (Soviet Air Force Engineering Academy, None)","Pilot; Colonel, Soviet Air Force",2d 00h 12m,,Soviet,
Linda M. Godwin,Bachelor of Science degree; Master of Science degree; Doctorate in physics,"Bachelor of Science in mathematics and physics (Southeast Missouri State University, 1974); Master of Science in physics (University of Missouri, 1976); Doctorate in physics (University of Missouri, 1980)",American scientist; Retired NASA astronaut; Professor in the Department of Physics and Astronomy at the University of Missouri,38d 6h 13m,,United States,73
Lisa Nowak,Bachelor of Science degree; Master of Science degree; Degree in Aeronautical and Astronautical Engineering,"Bachelor of Science in Aeronautical Engineering (United States Naval Academy, 1985); Master of Science in Aeronautical Engineering (Naval Postgraduate School, 1992); Degree in Aeronautical and Astronautical Engineering (Naval Postgraduate School, 1992)",Aeronautical Engineer; NASA Astronaut; United States Navy Officer; Naval Flight Officer; Test Pilot,12d 18h 36m,Girl Scout; Société Honoraire de Français; math team; student council; field hockey; track and field athletics,United States,62
Liu Boming,,"None (PLA Air Force Changchun Flight College, None); PhD candidate (Beijing Institute of Technology, 2018)","Fighter pilot, PLAAF; Major general, PLASSF; Cosmonaut",95 days and 38 minutes,,China,59
Liu Wang,,"Fighter pilot (PLA Air Force Aviation University, 1988)","Pilot; Major General, PLASSF; Astronaut","12 days, 15 hours and 25 minutes",,China,56
Lloyd Blaine Hammond Jr.,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in engineering, science, and mechanics (United States Air Force Academy, 1973); Master of Science in engineering science and mechanics (Georgia Institute of Technology, 1974)","Colonel, USAF; NASA astronaut; Gulfstream test pilot",19d 6h 11m,,U.S.,73
Loren Shriver,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Aeronautical Engineering (United States Air Force Academy, 1967); Master of Science in Astronautical Engineering (Purdue University, 1968)",NASA astronaut; Aviator; Retired US Air Force Colonel; Deputy Director for Launch and Payload Processing at Kennedy Space Center; Space Shuttle program Manager for Launch Integration; Vice-president of engineering and integration; Chief technology officer with United Space Alliance,16d 2h 4m,,United States,80
Luca Parmitano,Master's degree,"None (Liceo Scientifico Statale 'Galileo Galilei', Catania, Italy, 1995); Exchange Student (Mission Viejo High School, Mission Viejo, California, USA, 1993); Master's degree in Political Sciences (University of Naples Federico II, Italy, 1999); None (Italian Accademia Aeronautica, Pozzuoli, Italy, 2000); Basic Training (Euro-NATO Joint Jet Pilot Training Program, Sheppard Air Force Base, Texas, USA, 2001); Master's degree in Experimental Flight Test Engineering (Institut Supérieur de l'Aéronautique et de l'Espace, Toulouse, France, 2009)",Pilot; Italian Air Force; Test Pilot; Colonel; Astronaut of the European Space Agency,366 days 23 hours 01 minute,scuba diving; snowboarding; skydiving; weight training; swimming; reading; listening to and playing music,Italy,48
M. Achmed Faris,,,,,,,
Mae Carol Jemison,Bachelor of Science degree; Bachelor of Arts degree; M.D. degree,"B.S. degree in chemical engineering (Stanford University, 1977); B.A. degree in African and African-American studies (Stanford University, 1977); M.D. degree (Cornell University, 1981)",Engineer; Physician; Former NASA Astronaut; Mission Specialist; General Practitioner; Medical Officer (Peace Corps); Professor of Environmental Studies; Consulting Firm Founder,7d 22h 30m,dance; nature; human physiology; science; space; Star Trek,United States,68
Maksim Surayev,Pilot-Engineer; Pilot-Engineer-Researcher; Law Degree,"Pilot-Engineer (Kacha Air Force Pilot School, 1994); Pilot-Engineer-Researcher (Zhukovski Air Force Academy, 1997); Law Degree (Russian Academy of Civil Service, 2007)",Fighter Pilot; Colonel; Cosmonaut; Politician,334d 12h 11min,sports; reading,Russia,53
Mamoru Mohri,BSc in chemistry; Master of Science degree; Doctor of Philosophy (PhD),"BSc in chemistry (Hokkaido University, 1970); MSc in chemistry (Hokkaido University, 1972); PhD in chemistry (Flinders University, 1976)",Engineer; NASDA astronaut; Chief Executive Director Emeritus for the Miraikan,19d 04h 09m,,Japanese,77
Marc Garneau,Bachelor of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science in Engineering Physics (Royal Military College of Canada, 1970); PhD in Electrical Engineering (Imperial College London, 1973); None (Canadian Forces Command and Staff College, 1983)",Canadian Armed Forces officer; Astronaut; Politician; Naval Captain; Member of Parliament (MP); Minister of Transport; Minister of Foreign Affairs; President of the Canadian Space Agency,"29 days, 2 hours, 1 minute",,Canada,76
Marcos Pontes,Aeronautical Engineering,"Aeronautical Engineering (Instituto Tecnológico de Aeronáutica, None); None (Naval Postgraduate School, US Navy, None)","Fighter pilot; Astronaut; Engineer; Politician; Author; Lieutenant colonel, Brazilian Air Force",9d 21h 17m,,Brazil,62
Mario Runco Jr.,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Meteorology and Physical Oceanography (City College of New York, 1974); Master of Science in Meteorology (Rutgers University, 1976)","Lieutenant Commander, USN (ret.); Former United States Naval Officer; NASA Astronaut; New Jersey State Trooper; USGS Research Hydrologist",22d 23h 8m,intercollegiate ice hockey,United States,73
Mark C. Lee,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Civil Engineering (United States Air Force Academy, 1974); Master of Science in Mechanical Engineering (Massachusetts Institute of Technology, 1980)","Colonel, USAF; NASA Astronaut",32d 21h 46m,,U.S.,73
Mark Kelly,Bachelor of Science degree; Master of Science degree,"Bachelor of Science - Marine Engineering and Nautical Science (United States Merchant Marine Academy, 1986); Master of Science - Aeronautical Engineering (Naval Postgraduate School, 1994)","Captain, United States Navy; Naval Aviator; Test Pilot; Pilot, NASA Space Shuttle; Commander, NASA Space Shuttle; U.S. Senator",54 days 2 hours 4 minutes,,United States,61
Mark L. Polansky,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in aeronautical and astronautical engineering (Purdue University, 1978); Master of Science in aeronautics and astronautics (Purdue University, 1978)",Aerospace engineer; Research pilot; NASA astronaut,41d 10h 50m,,American,69
Mark Neil Brown,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in aeronautical and astronautical engineering (Purdue University, 1973); Master of Science in astronautical engineering (U.S. Air Force Institute of Technology, 1980)","Engineer; Colonel, United States Air Force; NASA Astronaut",10d 9h 27m,fishing; hiking; jogging; all sports; chess,American,73
Mark Shuttleworth,Bachelor of Business Science in Finance and Information Systems,"Bachelor of Business Science in Finance and Information Systems (University of Cape Town, None)",Entrepreneur,9d 21h 25m,,South African and British,52
Mark T. Vande Hei,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Physics (Saint John's University, 1989); Master of Science in Applied Physics (Stanford University, 1999)",United States Army officer; NASA astronaut; Flight engineer,523d 8h 59m,,United States,58
Marsha Ivins,Bachelor of Science degree,"Bachelor of Science in Aerospace Engineering (University of Colorado at Boulder, 1973)",Astronaut; Flight Engineer; Co-pilot,55d 21h 48m,,American,74
Martin J. Fettman,Bachelor of Science degree; Doctor of Veterinary Medicine; Master of Science degree; Doctor of Philosophy (PhD); Diplomate in Veterinary Clinical Pathology,"Bachelor of Science in Animal Nutrition (Cornell University, 1976); Doctor of Veterinary Medicine (Cornell University, 1980); Master of Science in Nutrition (Cornell University, 1980); Doctor of Philosophy in Physiology (Colorado State University, 1982); Diplomate in Veterinary Clinical Pathology (American College of Veterinary Pathologists, 1984)",Pathologist; Payload Specialist,14d 00h 12m,scuba diving; amateur radio; flying; bicycling; pistol marksmanship; camping and mountain hiking; photography; travel; reading (mysteries); music (jazz and classical),American,68
Mary Ellen Weber,Bachelor of Science degree; Doctor of Philosophy (PhD); Master's degree,"Bachelor of Science in Chemical Engineering (Purdue University, 1984); Doctor of Philosophy in Physical Chemistry (University of California, Berkeley, 1988); Master of Business Administration (Southern Methodist University, 2002)",Executive; Scientist; Aviator; Former NASA Astronaut,18d 18h 30m,Skydiving; Skiing; Scuba diving,American,63
Mary L. Cleave,Biological Sciences; Microbial Ecology; Civil and Environmental Engineering,"Bachelor of Science in Biological Sciences (Colorado State University, 1969); Master of Science in Microbial Ecology (Utah State University, 1975); Doctorate in Civil and Environmental Engineering (Utah State University, 1979)","Engineer; NASA Astronaut; Associate Administrator, Science Mission Directorate, NASA",10d 22h 2m,,American,76
Maurizio Cheli,Master's degree,"None (Italian Air Force Academy, None); Test Pilot Training (Empire Test Pilots' School, England, 1988); Geophysics (University of Rome La Sapienza, None); Master's degree in aerospace engineering (University of Houston, None)","Test pilot; Lieutenant colonel, Italian Air Force; Astronaut; Chief Test Pilot for combat aircraft",15d 17h 41m,,Italy,66
Michael A. Baker,Bachelor of Science degree,"Bachelor of Science in Aerospace Engineering (University of Texas, 1975)","Retired Captain, United States Navy; NASA Astronaut; International Space Station Program Manager for International and Crew Operations at NASA's Johnson Space Center",40d 4h 59m,,United States,71
Michael Barratt,Bachelor of Science degree; MD; Master of Science degree,"BS in Zoology (University of Washington, 1981); MD (Northwestern University, 1985); MS in Aerospace Medicine (Wright State University, 1991)",Physician; NASA Astronaut; Flight Surgeon; Project Physician,"446 days, 15 hours, 21 minutes",family and church activities; writing; sailing; boat restoration and maintenance,American,66
Michael Coats,Bachelor of Science degree; Master of Science degree,"Bachelor of Science (United States Naval Academy, 1968); Master of Science in Administration of Science and Technology (George Washington University, 1977); Master of Science in Aeronautical Engineering (U.S. Naval Postgraduate School, 1979)","NASA astronaut; Director of the Johnson Space Center; Captain, USN",19d 7h 56m,,United States,79
Michael E. Fossum,Mechanical Engineering; Physical Science,"Mechanical Engineering (Texas A&M University, 1980); Physical Science (Space Science) (University of Houston, None)","Astronaut; Engineer; Chief Operating Officer of Texas A&M University at Galveston; Vice President; Superintendent of Texas A&M Maritime Academy; Colonel, United States Air Force Reserve",193d 19h 2m,Boy Scouts of America; Order of the Arrow; Scoutmaster,United States,67
Michael Fincke,Bachelor of Science degree; Master of Science degree,"None (Sewickley Academy, 1985); Bachelor of Science in Aeronautics and Astronautics (Massachusetts Institute of Technology, 1989); Bachelor of Science in Earth, Atmospheric and Planetary Sciences (Massachusetts Institute of Technology, 1989); Master of Science in Aeronautics and Astronautics (Stanford University, 1990); Master of Science in Planetary Geology (University of Houston–Clear Lake, 2001); None (El Camino College, None); None (Community College of Allegheny County, None); None (Moscow Aviation Institute, None)",Astronaut; Retired United States Air Force Colonel; Space Systems Engineer; Space Test Engineer; Flight Test Engineer,"429 days, 13 hours, 24 minutes",Conversant in Japanese and Russian,American,58
Michael Foale,Natural Sciences; Laboratory Astrophysics,"None (The King's School, Canterbury, None); BA in Natural Sciences (Queens' College, Cambridge, 1978); PhD in Laboratory Astrophysics (Queens' College, Cambridge, 1982)","Astrophysicist; NASA Astronaut; Commander, International Space Station Expedition 8; Deputy Associate Administrator for Exploration Operations at NASA HQ",374 days 11 hours 19 minutes,windsurfing; gliding; cross-country skiing,British American,68
Michael J. Bloomfield,Bachelor's degree; Master's degree,"Bachelor's degree in Engineering Mechanics (United States Air Force Academy, None); Master's degree in Engineering Management (Old Dominion University, 1993)","Astronaut; F-15 Fighter Pilot; Test Pilot; Colonel, USAF; Chief of Safety for the Astronaut Office; Chief Instructor Astronaut; Director of Shuttle Operations; Chief of the Shuttle Branch; Deputy Director of Flight Crew Operations; Vice President of the Constellation Program at ATK; Vice President and General Manager of Oceaneering Space Systems; Board of Directors at Space Center Houston",32d 11h 2m,,American,66
Michael J. McCulley,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Metallurgical Engineering (Purdue University, 1970); Master of Science in Metallurgical Engineering (Purdue University, 1970)",American naval officer; Aviator; Test pilot; Metallurgical engineer; NASA astronaut; President and CEO of United Space Alliance,"4 days, 23 hours, 41 minutes",,American,82
Michael James Foreman,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Aerospace Engineering (United States Naval Academy, 1979); Master of Science in Aeronautical Engineering (Naval Postgraduate School, 1986)","U.S. Navy Pilot; NASA Astronaut; Local Politician; Mayor of Friendswood, Texas",more than 637 hours,,United States,68
Michael James Massimino,Bachelor of Science degree; Master of Science degree; Degree of Mechanical Engineer; Doctor of Philosophy (PhD),"Bachelor of Science in industrial engineering (Columbia University, 1984); Master of Science in mechanical engineering (Massachusetts Institute of Technology, 1988); Master of Science in Technology and Public Policy (Massachusetts Institute of Technology, 1988); Degree of Mechanical Engineer (Massachusetts Institute of Technology, 1990); Doctor of Philosophy in mechanical engineering (Massachusetts Institute of Technology, 1992)","Professor of mechanical engineering at Columbia University; NASA astronaut; Senior advisor of space programs at the Intrepid Sea, Air & Space Museum",23d 19h 47m,,United States,63
Michael L. Gernhardt,Bachelor of Science degree; Master of Science degree; Doctorate in Bioengineering,"Bachelor of Science in Physics (Vanderbilt University, 1978); Master of Science in Bioengineering (University of Pennsylvania, 1983); Doctorate in Bioengineering (University of Pennsylvania, 1991)",NASA astronaut; Manager of the Environmental Physiology Laboratory; Principal Investigator of the Prebreathe Reduction Program; Member of the astronaut office EVA branch; Professional diver; Project engineer,43d 7h 1m,running; swimming; flying; fishing; scuba diving,U.S.,69
Michael López-Alegría,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Systems Engineering (United States Naval Academy, 1980); Master of Science in Aeronautical Engineering (Naval Postgraduate School, 1988)","Astronaut; Test Pilot; Commercial Astronaut; Captain, USN; Independent Consultant","296 days, 16 hours and 15 minutes",,American Spanish,67
Michael P. Anderson,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Physics and Astronomy (University of Washington, 1981); Master of Science in Physics (Creighton University, 1990)","Lieutenant Colonel, USAF; NASA Astronaut",24d 18h 8m,,United States,
Michael R. Clifford,Bachelor of Science degree; Master of Science degree,"Bachelor of Science (United States Military Academy, 1974); Master of Science in Aerospace Engineering (Georgia Institute of Technology, 1982)",United States Army Officer; NASA Astronaut; Master Army Aviator; Space Shuttle Vehicle Integration Engineer,27d 18h 24m,,United States,
Michael S. Hopkins,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Aerospace Engineering (University of Illinois, Urbana-Champaign, 1991); Master of Science in Aerospace Engineering (Stanford University, 1992)","Colonel, United States Space Force; Former NASA Astronaut",333d 12h 54m,,United States,56
Michael T. Good,Aerospace Engineering,"B.S. in Aerospace Engineering (University of Notre Dame, 1984); M.S. in Aerospace Engineering (University of Notre Dame, 1986)","Colonel, USAF (ret.); Astronaut; Engineer",24d 18h 6m,,U.S.,62
Michel Tognini,,"None (Ecole de l'Air, 1973); Test Pilot Diploma (Empire Test Pilots' School, 1982); Military Studies Diploma (None, 1983); None (French Institute for High Studies of National Defense (IHEDN), None)","Test Pilot; Brigadier General, French Air Force; Cosmonaut",18d 17h 46m,,French,75
Mike Mullane,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Military Engineering (United States Military Academy, 1967); Master of Science in Aeronautical Engineering (U.S. Air Force Institute of Technology, 1975)","Engineer; Weapon Systems Officer; Retired USAF Officer; Former NASA Astronaut; Colonel, USAF",14d 20h 20m,,United States,80
Mikhail Kornienko,Liquid Propellant Rocket Engines Mechanical Engineer,"Liquid Propellant Rocket Engines Mechanical Engineer (Moscow Aviation Institute, 1987)",Engineer; Cosmonaut; Flight Engineer,516d 10h 1m,,Russia,65
Mikhail Tyurin,Engineering,"Engineering (Moscow Aviation Institute, 1984)",Mechanical Engineer,"532 days, 02 hours, 50 minutes",sailing,Russia,65
Millie Hughes-Fulford,Bachelor of Science degree; Doctor of Philosophy (PhD),"B.S. in Chemistry and Biology (Tarleton State University, 1968); Ph.D. in Plasma Chemistry (Texas Woman's University, 1972)",Chemist; Medical Investigator; Molecular Biologist; Payload Specialist; Professor,"9 days, 2 hours and 14 minutes",,American,
Musa Manarov,Engineering qualification,"Engineering qualification (Moscow Aviation Institute, 1974)","Flight engineer; Colonel, Soviet Air Force; Cosmonaut",541d 00h 28m,,Russia,74
Nancy J. Currie-Gregg,Bachelor of Arts degree; Master of Science degree; Doctorate in industrial engineering,"Bachelor of Arts in biological science (Ohio State University, 1980); Master of Science in safety engineering (University of Southern California, 1985); Doctorate in industrial engineering (University of Houston, 1997)","American engineer; United States Army officer; NASA astronaut; Colonel, USA; Professor of practice, Texas A&M University",41d 15h 32m,,American,66
Naoko Yamazaki,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Aerospace Engineering (University of Tokyo, 1993); Master of Science in Aerospace Engineering (University of Tokyo, 1996)",Engineer; Researcher,"15 days, 2 hours, 47 minutes",scuba diving; snow skiing; flying; music,Japanese,54
Nicholas James MacDonald Patrick,Engineering; Mechanical Engineering,"None (Harrow School, None); Engineering (Trinity College, Cambridge, 1986); Mechanical Engineering (MS) (Massachusetts Institute of Technology, 1990); Mechanical Engineering (PhD) (Massachusetts Institute of Technology, 1996)",British-American engineer; NASA astronaut; New Shepard Flight Director; Senior Director of Human Integration at Blue Origin,26d 14h 52m,,British American,60
Nick Hague,Bachelor of Science degree; Master of Science degree,"BS in Aerospace Engineering (United States Air Force Academy, 1998); MS in Aerospace Engineering (Massachusetts Institute of Technology, 2000)","Brigadier General, USSF; NASA Astronaut","373 days, 20 hours, 25 minutes",Doctor Who fan,United States,49
Nicole Stott,Bachelor of Science degree; Master of Science degree,"B.S. degree in aeronautical engineering (Embry-Riddle Aeronautical University, 1987); M.S. degree in Engineering Management (University of Central Florida, 1992)",Engineer; Retired NASA astronaut,103d 5h 49m,astronomy,American,62
Nie Haisheng,,"None (PLA Air Force Changchun Flight College, None); None (PLAAF Seventh Flight Academy (now PLAAF Aviation University), 1987)","PLAAF fighter pilot; Director of navigation; Major general, PLASSF; Taikonaut; Third commander of the PLA Astronaut Corps","111 days, 14 hours and 13 minutes",,Chinese,60
Nikolai Budarin,Diploma,"Mechanical engineering diploma (Ordzhonikidze Moscow Aviation Institute, 1979)",Mechanical Engineer; Cosmonaut,"444 days, 1 hour, 25 minutes",fishing; skiing; picking mushrooms; tourism; cycling,Russia,72
Nikolai Rukavishnikov,,"None (Moscow Engineering and Physics Institute, None)",Physicist,9d 21h 09m,,Soviet,
Norishige Kanai,M.D.,"M.D. (National Defense Medical College, 2002)","Physician; Lieutenant, JMSDF; JAXA Astronaut","168 days, 5 hours, 18 minutes",Iaidō and other Japanese traditional martial arts; scuba diving; traveling,Japanese,48
Norman Thagard,Bachelors and Masters Degrees in Engineering Science; Doctor of Medicine; MBA,"Bachelors and Masters Degrees in Engineering Science (Florida State University, 1966); Doctor of Medicine (University of Texas Southwestern Medical School, 1977); MBA (University of Florida, None)","Captain, US Marine Corps; Naval Aviator; NASA Astronaut; Scientist; Professor; Associate Dean","140 days, 13 hours and 24 minutes",classical music; electronic design,United States,82
Oleg Artemyev,Low Temperature Technology and Physics; Personnel Management,"None (Tallinn Polytechnical School, 1990); Low Temperature Technology and Physics (Bauman Moscow State Technical University, 1998); Personnel Management (Russian Academy of State Service, 2009)",Test cosmonaut; Cosmonaut for the Russian Federal Space Agency,"560 days, 18 hours and 6 minutes",,Russia,54
Oleg Atkov,Doctorate in Cardiology,"None (I.M. Sechenov First Moscow State Medical University, 1973); Doctorate in Cardiology (Russian Academy of Medical Science, None)",Medical Doctor; Cardiologist; Cosmonaut Researcher; President of the Russian Telemedicine Association; Vice President of Russian Railways,"236 days, 22 hours, and 49 minutes",,Soviet / Russian,76
Oleg Kononenko,Mechanical Engineer,"Mechanical Engineer (N. E. Zhukovskiy Kharkiv Aviation Institute, 1988)",Engineer; Cosmonaut,"1,110 days, 14 hours, 57 minutes",reading; team sports,Russian,61
Oleg Kotov,,"None (S. M. Kirov Military Medical Academy, 1988)",Physician; Lieutenant Colonel; Cosmonaut,526 days 5 hours 4 minutes,diving; computers; photography,Russian,59
Oleg Novitski,,,,,,,
Oleg Skripochka,Mechanical engineer in rocket construction,"Diploma of mechanical engineer in rocket construction (Bauman Moscow State Technical University, 1993)",Cosmonaut; Mechanical engineer,536d 03h 49m,,Russian,55
Owen Kay Garriott,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science in Electrical Engineering (University of Oklahoma, 1953); Master of Science in Electrical Engineering (Stanford University, 1957); Ph.D. in Electrical Engineering (Stanford University, 1960)","Electrical Engineer; NASA Astronaut; Electronics Officer, United States Navy; Professor of Electrical Engineering, Stanford University; Adjunct Professor, University of Alabama in Huntsville; Vice President of Space Programs, Teledyne Brown Engineering",69d 18h 56m,amateur radio; adventure travel; research on microbes,American,
Pamela Ann Melroy,Bachelor of Arts degree; Master of Science degree,"Bachelor of Arts in Physics and Astronomy (Wellesley College, 1983); Master of Science in Earth and Planetary Science (Massachusetts Institute of Technology, 1984)",United States Air Force officer; NASA astronaut; Deputy administrator of NASA; Senior technical advisor; Director of field operations for FAA’s Office of Commercial Space Transportation; Deputy director of DARPA's Tactical Technology Office,38d 20h 6m,,American,64
Paolo Nespoli,Bachelor's degree; Master's degree,"Bachelor's degree in Aerospace engineering (Polytechnic University, New York, 1988); Master's degree in Aeronautics and Astronautics (Polytechnic University, New York, 1989)",Italian Army; Astronaut; Engineer,313 days 2 hours 36 minutes,Scuba diving; piloting aircraft; photography; building electronic equipment and computer software; supports Serie A team Inter,Italian,68
Patrick Baudry,,"None (Prytanée National Militaire, 1967); None (French Airforce Academy ""École de l'Air"", 1969)","Fighter pilot; Lieutenant Colonel, French Air Force; CNES astronaut; Test pilot",7d 01h 38m,"mechanical sports, such as motorcycling and car racing; running marathons; playing squash; skiing; shooting; windsurfing; sky diving; wine connaisseur",France,79
Patrick G. Forrester,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Applied Sciences and Engineering (United States Military Academy, 1979); Master of Science in Mechanical and Aerospace Engineering (University of Virginia, 1989)",NASA astronaut; Engineer; Former Chief of the Astronaut Office; Retired United States Army colonel; Army aviator,39d 14h 18m,,United States,68
Paul J. Weitz,Bachelor of Science degree; Master of Science degree,"BS in Aeronautical Engineering (Pennsylvania State University, 1954); MS in Aeronautical Engineering (Naval Postgraduate School, 1964)",Naval Officer; Aviator; Aeronautical Engineer; Test Pilot; NASA Astronaut; Spacecraft Commander; Deputy Director of Johnson Space Center,33d 1h 13m,hunting; fishing,American,
Paul Scott Lockhart,Bachelor of Arts degree; Master of Science degree,"Bachelor of Arts in mathematics (Texas Tech University, 1978); Master of Science in aerospace engineering (University of Texas at Austin, None); None (University of Innsbruck, None); None (University of Vienna Summer School, None); Aerospace-related courses (Syracuse University, None); Aerospace-related courses (University of Florida, None); None (Royal College of Defence Studies, London, 2004)",Aerospace engineer; Retired United States Air Force colonel; NASA astronaut; Astronaut candidate; Test pilot for the F-16 aircraft,27d 15h 23m,,United States,69
Paul Scully-Power,Bachelor of Science degree; Diploma; Doctor of Science in Applied Mathematics,"Bachelor of Science with Honours (University of Sydney, 1966); Diploma of Education (University of Sydney, 1967)",Oceanographer; Technology Expert; Business Executive; Astronaut,8d 05h 23m,squash and racketball; sailing; reading,Australian-American,81
Paul W. Richards,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Mechanical Engineering (Drexel University, 1987); Master of Science in Mechanical Engineering (University of Maryland, College Park, 1991)",Engineer; Former NASA Astronaut; Program Executive for NASA’s Satellite Communications and Navigation (SCaN) Program,12d 19h 49m,,American,61
Pavel Belyayev,,,Fighter pilot; Cosmonaut; Commander of the cosmonaut corps,1d 02h 02m,hunting; reading; writing poetry; playing the piano; playing the accordion,Soviet Union,
Pavel Popovich,Construction Engineer; Pilot's degree,"Construction Engineer (Technical School in Magnitogorsk, 1951); None (Stalingrad Military Aviation School, 1952); None (Military Officers of the Air Force Aviation Training School in Grozny, 1954); None (Post-graduate degree in technical sciences, 1977)","Pilot; Major General, Soviet Air Force; Cosmonaut",18d 16h 27m (total),weightlifting,Ukraine,
Pavel Vinogradov,,"None (Moscow Aviation Institute, 1977)","Engineer; Test Cosmonaut, Energia; Commander of the International Space Station","546 days, 22 hours, 32 minutes",game sports; history of aviation and cosmonautics; astronomy,Russian,72
Pedro Francisco Duque Duque,Aeronautical Engineering,"Aeronautical Engineering (Universidad Politécnica de Madrid, 1986)","Flight engineer; Astronaut; Minister of Science, Innovation and Universities",18d 18h 46min,,Spanish,62
