name,degrees,nationality,age,cleaned_name,Mission.Role,degree level,major,major category
Kevin Ford,"International Relations (Troy State University, 1989)",United States,65.0,Kevin Ford,pilot,bachelor,International Relations,social science
Kevin Ford,"Aerospace Engineering (University of Florida, 1994)",United States,65.0,Kevin Ford,pilot,bachelor,Aerospace Engineering,engineering
Kevin Ford,"Astronautical Engineering (Air Force Institute of Technology of Air University, 1997)",United States,65.0,Kevin Ford,pilot,bachelor,,
Kevin Ford,"Aerospace Engineering (University of Notre Dame, 1982)",United States,65.0,Kevin Ford,commander,bachelor,Aerospace Engineering,engineering
Kevin Ford,"International Relations (Troy State University, 1989)",United States,65.0,Kevin Ford,commander,bachelor,International Relations,social science
Kevin Ford,"Aerospace Engineering (University of Florida, 1994)",United States,65.0,Kevin Ford,commander,bachelor,Aerospace Engineering,engineering
Kevin Ford,"Astronautical Engineering (Air Force Institute of Technology of Air University, 1997)",United States,65.0,Kevin Ford,commander,bachelor,,
Kevin Chilton,"Bachelor of Science in engineering sciences (United States Air Force Academy, 1976)",United States,70.0,Kevin Chilton,pilot,bachelor,Science in engineering sciences,engineering
Kevin Chilton,"Master of Science in mechanical engineering (Columbia University, 1977)",United States,70.0,Kevin Chilton,pilot,bachelor,Science in mechanical engineering,engineering
Kevin Chilton,"Bachelor of Science in engineering sciences (United States Air Force Academy, 1976)",United States,70.0,Kevin Chilton,pilot,bachelor,Science in engineering sciences,engineering
Kevin Chilton,"Master of Science in mechanical engineering (Columbia University, 1977)",United States,70.0,Kevin Chilton,pilot,bachelor,Science in mechanical engineering,engineering
Kevin Chilton,"Bachelor of Science in engineering sciences (United States Air Force Academy, 1976)",United States,70.0,Kevin Chilton,commander,bachelor,Science in engineering sciences,engineering
Kevin Chilton,"Master of Science in mechanical engineering (Columbia University, 1977)",United States,70.0,Kevin Chilton,commander,bachelor,Science in mechanical engineering,engineering
Kimiya Yui,BS (National Defense Academy of Japan),Japan,55.0,Kimiya Yui,flight engineer,bachelor,,
Klaus-Dietrich Flade,"Aerospace engineering (Bundeswehr University Munich, 1980)",Germany,73.0,Klaus-Dietrich Flade,msp,bachelor,Aerospace Engineering,engineering
Koichi Wakata,"Bachelor of Science in Aeronautical Engineering (Kyushu University, 1987)",Japan,62.0,Koichi Wakata,msp,bachelor,Science in Aeronautical Engineering,engineering
Koichi Wakata,"Master of Science in Applied Mechanics (Kyushu University, 1989)",Japan,62.0,Koichi Wakata,msp,bachelor,Science in Applied Mechanics,natural science
Koichi Wakata,"Doctorate in Aerospace Engineering (Kyushu University, 2004)",Japan,62.0,Koichi Wakata,msp,doctor,Aerospace Engineering,engineering
Koichi Wakata,"Bachelor of Science in Aeronautical Engineering (Kyushu University, 1987)",Japan,62.0,Koichi Wakata,msp,bachelor,Science in Aeronautical Engineering,engineering
Koichi Wakata,"Master of Science in Applied Mechanics (Kyushu University, 1989)",Japan,62.0,Koichi Wakata,msp,bachelor,Science in Applied Mechanics,natural science
Koichi Wakata,"Doctorate in Aerospace Engineering (Kyushu University, 2004)",Japan,62.0,Koichi Wakata,msp,doctor,Aerospace Engineering,engineering
Koichi Wakata,"Bachelor of Science in Aeronautical Engineering (Kyushu University, 1987)",Japan,62.0,Koichi Wakata,flight engineer,bachelor,Science in Aeronautical Engineering,engineering
Koichi Wakata,"Master of Science in Applied Mechanics (Kyushu University, 1989)",Japan,62.0,Koichi Wakata,flight engineer,bachelor,Science in Applied Mechanics,natural science
Koichi Wakata,"Doctorate in Aerospace Engineering (Kyushu University, 2004)",Japan,62.0,Koichi Wakata,flight engineer,doctor,Aerospace Engineering,engineering
Koichi Wakata,"Bachelor of Science in Aeronautical Engineering (Kyushu University, 1987)",Japan,62.0,Koichi Wakata,commander,bachelor,Science in Aeronautical Engineering,engineering
Koichi Wakata,"Master of Science in Applied Mechanics (Kyushu University, 1989)",Japan,62.0,Koichi Wakata,commander,bachelor,Science in Applied Mechanics,natural science
Koichi Wakata,"Doctorate in Aerospace Engineering (Kyushu University, 2004)",Japan,62.0,Koichi Wakata,commander,doctor,Aerospace Engineering,engineering
Konstantin Feoktistov,"Engineering (Bauman Moscow Higher Technical School, 1949)",Soviet Union & Russia,,Konstantin Feoktistov,msp,,,
Konstantin Feoktistov,Doctorate in Physics,Soviet Union & Russia,,Konstantin Feoktistov,msp,doctor,Physics,natural science
Konstantin Kozeyev,,Russia,57.0,Konstantin Kozeyev,flight engineer,,,
Laurel Clark,"Bachelor of Science in Zoology (University of Wisconsin–Madison, 1983)",American,41.0,Laurel Clark,msp,bachelor,Science in Zoology,natural science
Laurel Clark,"Doctorate in Medicine (University of Wisconsin–Madison, 1987)",American,41.0,Laurel Clark,msp,doctor,Medicine,natural science
Lee Morin,"Bachelor of Science in Mathematical/Electrical science (University of New Hampshire, 1974)",United States,73.0,Lee Morin,msp,bachelor,Science in Mathematical/Electrical science,natural science
Lee Morin,"Master of Science in Biochemistry (New York University, 1978)",United States,73.0,Lee Morin,msp,bachelor,Science in Biochemistry,natural science
Lee Morin,"Doctorate of Medicine (New York University School of Medicine, 1981)",United States,73.0,Lee Morin,msp,doctor,Medicine,natural science
Lee Morin,"Doctorate of Microbiology (New York University, 1982)",United States,73.0,Lee Morin,msp,doctor,,
Lee Morin,"Master of Public Health (University of Alabama at Birmingham, 1988)",United States,73.0,Lee Morin,msp,bachelor,Public Health,natural science
Lee Morin,"Master in Science in Physics (University of Houston Clear Lake, 2008)",United States,73.0,Lee Morin,msp,bachelor,Science in Physics,natural science
Leland Melvin,"Bachelor's degree in Chemistry (University of Richmond, 1985)",American,61.0,Leland Melvin,msp,bachelor,Chemistry,natural science
Leland Melvin,"Master of Science degree in Materials Science Engineering (University of Virginia, 1989)",American,61.0,Leland Melvin,msp,bachelor,Science,natural science
Leland Melvin,"Bachelor's degree in Chemistry (University of Richmond, 1985)",American,61.0,Leland Melvin,msp,bachelor,Chemistry,natural science
Leland Melvin,"Master of Science degree in Materials Science Engineering (University of Virginia, 1989)",American,61.0,Leland Melvin,msp,bachelor,Science,natural science
Leonid Kadenyuk,"Pilot-Engineer (Chernihiv Higher Military Aviation School of Pilots, 1971)",Ukraine,,Leonid Kadenyuk,pilot,bachelor,,
Leonid Kadenyuk,"Test Pilot (Test Pilot Training Center, 1977)",Ukraine,,Leonid Kadenyuk,pilot,,,
Leonid Kizim,,Soviet,,Leonid Kizim,commander,,,
Leonid Kizim,,Soviet,,Leonid Kizim,commander,,,
Leonid Kizim,,Soviet,,Leonid Kizim,commander,,,
Leonid Popov,,Ukrainian,80.0,Leonid Popov,commander,,,
Leonid Popov,,Ukrainian,80.0,Leonid Popov,commander,,,
Leonid Popov,,Ukrainian,80.0,Leonid Popov,commander,,,
Leroy Chiao,"B.S. in chemical engineering (University of California, Berkeley, 1983)",United States,65.0,Leroy Chiao,msp,bachelor,chemical engineering,engineering
Leroy Chiao,"M.S. in chemical engineering (University of California, Santa Barbara, 1985)",United States,65.0,Leroy Chiao,msp,bachelor,chemical engineering,engineering
Leroy Chiao,"Ph.D. in chemical engineering (University of California, Santa Barbara, 1987)",United States,65.0,Leroy Chiao,msp,doctor,chemical engineering,engineering
Leroy Chiao,"B.S. in chemical engineering (University of California, Berkeley, 1983)",United States,65.0,Leroy Chiao,msp,bachelor,chemical engineering,engineering
Leroy Chiao,"M.S. in chemical engineering (University of California, Santa Barbara, 1985)",United States,65.0,Leroy Chiao,msp,bachelor,chemical engineering,engineering
Leroy Chiao,"Ph.D. in chemical engineering (University of California, Santa Barbara, 1987)",United States,65.0,Leroy Chiao,msp,doctor,chemical engineering,engineering
Leroy Chiao,"B.S. in chemical engineering (University of California, Berkeley, 1983)",United States,65.0,Leroy Chiao,msp,bachelor,chemical engineering,engineering
Leroy Chiao,"M.S. in chemical engineering (University of California, Santa Barbara, 1985)",United States,65.0,Leroy Chiao,msp,bachelor,chemical engineering,engineering
Leroy Chiao,"Ph.D. in chemical engineering (University of California, Santa Barbara, 1987)",United States,65.0,Leroy Chiao,msp,doctor,chemical engineering,engineering
Leroy Chiao,"B.S. in chemical engineering (University of California, Berkeley, 1983)",United States,65.0,Leroy Chiao,commander,bachelor,chemical engineering,engineering
Leroy Chiao,"M.S. in chemical engineering (University of California, Santa Barbara, 1985)",United States,65.0,Leroy Chiao,commander,bachelor,chemical engineering,engineering
Leroy Chiao,"Ph.D. in chemical engineering (University of California, Santa Barbara, 1987)",United States,65.0,Leroy Chiao,commander,doctor,chemical engineering,engineering
Lev Dyomin,Doctoral degree in engineering (Soviet Air Force Engineering Academy),Soviet,,Lev Dyomin,flight engineer,doctor,,
Linda Godwin,"Bachelor of Science in mathematics and physics (Southeast Missouri State University, 1974)",United States,73.0,Linda Godwin,msp,bachelor,Science in mathematics and physics,natural science
Linda Godwin,"Master of Science in physics (University of Missouri, 1976)",United States,73.0,Linda Godwin,msp,bachelor,Science in physics,natural science
Linda Godwin,"Doctorate in physics (University of Missouri, 1980)",United States,73.0,Linda Godwin,msp,doctor,Physics,natural science
Linda Godwin,"Bachelor of Science in mathematics and physics (Southeast Missouri State University, 1974)",United States,73.0,Linda Godwin,msp,bachelor,Science in mathematics and physics,natural science
Linda Godwin,"Master of Science in physics (University of Missouri, 1976)",United States,73.0,Linda Godwin,msp,bachelor,Science in physics,natural science
Linda Godwin,"Doctorate in physics (University of Missouri, 1980)",United States,73.0,Linda Godwin,msp,doctor,Physics,natural science
Linda Godwin,"Bachelor of Science in mathematics and physics (Southeast Missouri State University, 1974)",United States,73.0,Linda Godwin,msp,bachelor,Science in mathematics and physics,natural science
Linda Godwin,"Master of Science in physics (University of Missouri, 1976)",United States,73.0,Linda Godwin,msp,bachelor,Science in physics,natural science
Linda Godwin,"Doctorate in physics (University of Missouri, 1980)",United States,73.0,Linda Godwin,msp,doctor,Physics,natural science
Linda Godwin,"Bachelor of Science in mathematics and physics (Southeast Missouri State University, 1974)",United States,73.0,Linda Godwin,msp,bachelor,Science in mathematics and physics,natural science
Linda Godwin,"Master of Science in physics (University of Missouri, 1976)",United States,73.0,Linda Godwin,msp,bachelor,Science in physics,natural science
Linda Godwin,"Doctorate in physics (University of Missouri, 1980)",United States,73.0,Linda Godwin,msp,doctor,Physics,natural science
Lisa Nowak,"Bachelor of Science in Aeronautical Engineering (United States Naval Academy, 1985)",United States,62.0,Lisa Nowak,msp,bachelor,Science in Aeronautical Engineering,engineering
Lisa Nowak,"Master of Science in Aeronautical Engineering (Naval Postgraduate School, 1992)",United States,62.0,Lisa Nowak,msp,,Science in Aeronautical Engineering,engineering
Lisa Nowak,"Degree in Aeronautical and Astronautical Engineering (Naval Postgraduate School, 1992)",United States,62.0,Lisa Nowak,msp,,,
Loren Shriver,"Bachelor of Science degree in Aeronautical Engineering (United States Air Force Academy, 1967)",United States,80.0,Loren Shriver,pilot,bachelor,Science,natural science
Loren Shriver,"Master of Science degree in Astronautical Engineering (Purdue University, 1968)",United States,80.0,Loren Shriver,pilot,bachelor,Science,natural science
Loren Shriver,"Bachelor of Science degree in Aeronautical Engineering (United States Air Force Academy, 1967)",United States,80.0,Loren Shriver,commander,bachelor,Science,natural science
Loren Shriver,"Master of Science degree in Astronautical Engineering (Purdue University, 1968)",United States,80.0,Loren Shriver,commander,bachelor,Science,natural science
Loren Shriver,"Bachelor of Science degree in Aeronautical Engineering (United States Air Force Academy, 1967)",United States,80.0,Loren Shriver,commander,bachelor,Science,natural science
Loren Shriver,"Master of Science degree in Astronautical Engineering (Purdue University, 1968)",United States,80.0,Loren Shriver,commander,bachelor,Science,natural science
Luca Parmitano,"Master's degree in Political Sciences (University of Naples Federico II, 1999)",Italy,48.0,Luca Parmitano,flight engineer,master,,
Luca Parmitano,"Master's degree in Experimental Flight Test Engineering (Institut Supérieur de l'Aéronautique et de l'Espace, 2009)",Italy,48.0,Luca Parmitano,flight engineer,master,,
Achmed Faris,,,,Achmed Faris,msp,,,
Maksim Surayev,"Pilot-Engineer (Kacha Air Force Pilot School, 1994)",Russia,53.0,Maksim Surayev,commander,,,
Maksim Surayev,"Pilot-Engineer-Researcher (Zhukovski Air Force Academy, 1997)",Russia,53.0,Maksim Surayev,commander,bachelor,,
Maksim Surayev,"Law Degree (Russian Academy of Civil Service, 2007)",Russia,53.0,Maksim Surayev,commander,bachelor,Law,social science
Maksim Surayev,"Pilot-Engineer (Kacha Air Force Pilot School, 1994)",Russia,53.0,Maksim Surayev,commander,,,
Maksim Surayev,"Pilot-Engineer-Researcher (Zhukovski Air Force Academy, 1997)",Russia,53.0,Maksim Surayev,commander,bachelor,,
Maksim Surayev,"Law Degree (Russian Academy of Civil Service, 2007)",Russia,53.0,Maksim Surayev,commander,bachelor,Law,social science
Mamoru Mohri,"BSc in chemistry (Hokkaido University, 1970)",Japanese,77.0,Mamoru Mohri,psp,bachelor,Chemistry,natural science
Mamoru Mohri,"MSc in chemistry (Hokkaido University, 1972)",Japanese,77.0,Mamoru Mohri,psp,master,Chemistry,natural science
Mamoru Mohri,"PhD in chemistry (Flinders University, 1976)",Japanese,77.0,Mamoru Mohri,psp,doctor,chemistry,natural science
Mamoru Mohri,"BSc in chemistry (Hokkaido University, 1970)",Japanese,77.0,Mamoru Mohri,msp,bachelor,Chemistry,natural science
Mamoru Mohri,"MSc in chemistry (Hokkaido University, 1972)",Japanese,77.0,Mamoru Mohri,msp,master,Chemistry,natural science
Mamoru Mohri,"PhD in chemistry (Flinders University, 1976)",Japanese,77.0,Mamoru Mohri,msp,doctor,chemistry,natural science
Mark Lee,"Bachelor of Science in Civil Engineering (United States Air Force Academy, 1974)",U.S.,73.0,Mark Lee,msp,bachelor,Science in Civil Engineering,engineering
Mark Lee,"Master of Science in Mechanical Engineering (Massachusetts Institute of Technology, 1980)",U.S.,73.0,Mark Lee,msp,bachelor,Science in Mechanical Engineering,engineering
Mark Lee,"Bachelor of Science in Civil Engineering (United States Air Force Academy, 1974)",U.S.,73.0,Mark Lee,msp,bachelor,Science in Civil Engineering,engineering
Mark Lee,"Master of Science in Mechanical Engineering (Massachusetts Institute of Technology, 1980)",U.S.,73.0,Mark Lee,msp,bachelor,Science in Mechanical Engineering,engineering
Mark Lee,"Bachelor of Science in Civil Engineering (United States Air Force Academy, 1974)",U.S.,73.0,Mark Lee,msp,bachelor,Science in Civil Engineering,engineering
Mark Lee,"Master of Science in Mechanical Engineering (Massachusetts Institute of Technology, 1980)",U.S.,73.0,Mark Lee,msp,bachelor,Science in Mechanical Engineering,engineering
Mark Lee,"Bachelor of Science in Civil Engineering (United States Air Force Academy, 1974)",U.S.,73.0,Mark Lee,msp,bachelor,Science in Civil Engineering,engineering
Mark Lee,"Master of Science in Mechanical Engineering (Massachusetts Institute of Technology, 1980)",U.S.,73.0,Mark Lee,msp,bachelor,Science in Mechanical Engineering,engineering
Mark Kelly,"Bachelor of Science - Marine Engineering and Nautical Science (United States Merchant Marine Academy, 1986)",United States,61.0,Mark Kelly,pilot,bachelor,Science - Marine Engineering and Nautical Science,engineering
Mark Kelly,"Master of Science - Aeronautical Engineering (Naval Postgraduate School, 1994)",United States,61.0,Mark Kelly,pilot,,Science - Aeronautical Engineering,engineering
Mark Kelly,"Bachelor of Science - Marine Engineering and Nautical Science (United States Merchant Marine Academy, 1986)",United States,61.0,Mark Kelly,pilot,bachelor,Science - Marine Engineering and Nautical Science,engineering
Mark Kelly,"Master of Science - Aeronautical Engineering (Naval Postgraduate School, 1994)",United States,61.0,Mark Kelly,pilot,,Science - Aeronautical Engineering,engineering
Mark Kelly,"Bachelor of Science - Marine Engineering and Nautical Science (United States Merchant Marine Academy, 1986)",United States,61.0,Mark Kelly,commander,bachelor,Science - Marine Engineering and Nautical Science,engineering
Mark Kelly,"Master of Science - Aeronautical Engineering (Naval Postgraduate School, 1994)",United States,61.0,Mark Kelly,commander,,Science - Aeronautical Engineering,engineering
Mark Kelly,"Bachelor of Science - Marine Engineering and Nautical Science (United States Merchant Marine Academy, 1986)",United States,61.0,Mark Kelly,commander,bachelor,Science - Marine Engineering and Nautical Science,engineering
Mark Kelly,"Master of Science - Aeronautical Engineering (Naval Postgraduate School, 1994)",United States,61.0,Mark Kelly,commander,,Science - Aeronautical Engineering,engineering
Mark Polansky,"Bachelor of Science in aeronautical and astronautical engineering (Purdue University, 1978)",American,69.0,Mark Polansky,pilot,bachelor,Science in aeronautical and astronautical engineering,engineering
Mark Polansky,"Master of Science in aeronautics and astronautics (Purdue University, 1978)",American,69.0,Mark Polansky,pilot,bachelor,Science in aeronautics and astronautics,natural science
Mark Polansky,"Bachelor of Science in aeronautical and astronautical engineering (Purdue University, 1978)",American,69.0,Mark Polansky,commander,bachelor,Science in aeronautical and astronautical engineering,engineering
Mark Polansky,"Master of Science in aeronautics and astronautics (Purdue University, 1978)",American,69.0,Mark Polansky,commander,bachelor,Science in aeronautics and astronautics,natural science
Mark Polansky,"Bachelor of Science in aeronautical and astronautical engineering (Purdue University, 1978)",American,69.0,Mark Polansky,commander,bachelor,Science in aeronautical and astronautical engineering,engineering
Mark Polansky,"Master of Science in aeronautics and astronautics (Purdue University, 1978)",American,69.0,Mark Polansky,commander,bachelor,Science in aeronautics and astronautics,natural science
Mark Vande Hei,"Bachelor of Science in Physics (Saint John's University, 1989)",United States,58.0,Mark Vande Hei,flight engineer,bachelor,Science in Physics,natural science
Mark Vande Hei,"Master of Science in Applied Physics (Stanford University, 1999)",United States,58.0,Mark Vande Hei,flight engineer,bachelor,Science in Applied Physics,natural science
Marsha Ivins,"Bachelor of Science in Aerospace Engineering (University of Colorado at Boulder, 1973)",American,74.0,Marsha Ivins,msp,bachelor,Science in Aerospace Engineering,engineering
Marsha Ivins,"Bachelor of Science in Aerospace Engineering (University of Colorado at Boulder, 1973)",American,74.0,Marsha Ivins,msp,bachelor,Science in Aerospace Engineering,engineering
Marsha Ivins,"Bachelor of Science in Aerospace Engineering (University of Colorado at Boulder, 1973)",American,74.0,Marsha Ivins,msp,bachelor,Science in Aerospace Engineering,engineering
Marsha Ivins,"Bachelor of Science in Aerospace Engineering (University of Colorado at Boulder, 1973)",American,74.0,Marsha Ivins,msp,bachelor,Science in Aerospace Engineering,engineering
Marsha Ivins,"Bachelor of Science in Aerospace Engineering (University of Colorado at Boulder, 1973)",American,74.0,Marsha Ivins,msp,bachelor,Science in Aerospace Engineering,engineering
Mary Cleave,"Biological Sciences (Colorado State University, 1969)",American,76.0,Mary Cleave,msp,bachelor,,
Mary Cleave,"Microbial Ecology (Utah State University, 1975)",American,76.0,Mary Cleave,msp,bachelor,,
Mary Cleave,"Civil and Environmental Engineering (Utah State University, 1979)",American,76.0,Mary Cleave,msp,bachelor,,
Mary Cleave,"Biological Sciences (Colorado State University, 1969)",American,76.0,Mary Cleave,msp,bachelor,,
Mary Cleave,"Microbial Ecology (Utah State University, 1975)",American,76.0,Mary Cleave,msp,bachelor,,
Mary Cleave,"Civil and Environmental Engineering (Utah State University, 1979)",American,76.0,Mary Cleave,msp,bachelor,,
Maurizio Cheli,Master's degree in aerospace engineering (University of Houston),Italy,66.0,Maurizio Cheli,msp,master,Aerospace Engineering,engineering
Michael Baker,"Bachelor of Science in Aerospace Engineering (University of Texas, 1975)",United States,71.0,Michael Baker,pilot,bachelor,Science in Aerospace Engineering,engineering
Michael Baker,"Bachelor of Science in Aerospace Engineering (University of Texas, 1975)",United States,71.0,Michael Baker,pilot,bachelor,Science in Aerospace Engineering,engineering
Michael Baker,"Bachelor of Science in Aerospace Engineering (University of Texas, 1975)",United States,71.0,Michael Baker,commander,bachelor,Science in Aerospace Engineering,engineering
Michael Baker,"Bachelor of Science in Aerospace Engineering (University of Texas, 1975)",United States,71.0,Michael Baker,commander,bachelor,Science in Aerospace Engineering,engineering
Michael Barratt,"BS in Zoology (University of Washington, 1981)",American,66.0,Michael Barratt,flight engineer,bachelor,Zoology,natural science
Michael Barratt,"MD (Northwestern University, 1985)",American,66.0,Michael Barratt,flight engineer,doctor,,
Michael Barratt,"MS in Aerospace Medicine (Wright State University, 1991)",American,66.0,Michael Barratt,flight engineer,master,Aerospace Medicine,natural science
Michael Barratt,"BS in Zoology (University of Washington, 1981)",American,66.0,Michael Barratt,msp,bachelor,Zoology,natural science
Michael Barratt,"MD (Northwestern University, 1985)",American,66.0,Michael Barratt,msp,doctor,,
Michael Barratt,"MS in Aerospace Medicine (Wright State University, 1991)",American,66.0,Michael Barratt,msp,master,Aerospace Medicine,natural science
Michael Coats,"Bachelor of Science (United States Naval Academy, 1968)",United States,79.0,Michael Coats,pilot,bachelor,Science,natural science
Michael Coats,"Master of Science in Administration of Science and Technology (George Washington University, 1977)",United States,79.0,Michael Coats,pilot,bachelor,Science in Administration of Science and Technology,natural science
Michael Coats,"Master of Science in Aeronautical Engineering (U.S. Naval Postgraduate School, 1979)",United States,79.0,Michael Coats,pilot,,Science in Aeronautical Engineering,engineering
Michael Coats,"Bachelor of Science (United States Naval Academy, 1968)",United States,79.0,Michael Coats,commander,bachelor,Science,natural science
Michael Coats,"Master of Science in Administration of Science and Technology (George Washington University, 1977)",United States,79.0,Michael Coats,commander,bachelor,Science in Administration of Science and Technology,natural science
Michael Coats,"Master of Science in Aeronautical Engineering (U.S. Naval Postgraduate School, 1979)",United States,79.0,Michael Coats,commander,,Science in Aeronautical Engineering,engineering
Michael Coats,"Bachelor of Science (United States Naval Academy, 1968)",United States,79.0,Michael Coats,commander,bachelor,Science,natural science
Michael Coats,"Master of Science in Administration of Science and Technology (George Washington University, 1977)",United States,79.0,Michael Coats,commander,bachelor,Science in Administration of Science and Technology,natural science
Michael Coats,"Master of Science in Aeronautical Engineering (U.S. Naval Postgraduate School, 1979)",United States,79.0,Michael Coats,commander,,Science in Aeronautical Engineering,engineering
Michael Fossum,"Mechanical Engineering (Texas A&M University, 1980)",United States,67.0,Michael Fossum,msp,bachelor,Mechanical Engineering,engineering
Michael Fossum,Physical Science (Space Science) (University of Houston),United States,67.0,Michael Fossum,msp,bachelor,,
Michael Fossum,"Mechanical Engineering (Texas A&M University, 1980)",United States,67.0,Michael Fossum,msp,bachelor,Mechanical Engineering,engineering
Michael Fossum,Physical Science (Space Science) (University of Houston),United States,67.0,Michael Fossum,msp,bachelor,,
Michael Fossum,"Mechanical Engineering (Texas A&M University, 1980)",United States,67.0,Michael Fossum,commander,bachelor,Mechanical Engineering,engineering
Michael Fossum,Physical Science (Space Science) (University of Houston),United States,67.0,Michael Fossum,commander,bachelor,,
Michael Fincke,"Bachelor of Science in Aeronautics and Astronautics (Massachusetts Institute of Technology, 1989)",American,58.0,Michael Fincke,flight engineer,bachelor,Science in Aeronautics and Astronautics,natural science
Michael Fincke,"Bachelor of Science in Earth, Atmospheric and Planetary Sciences (Massachusetts Institute of Technology, 1989)",American,58.0,Michael Fincke,flight engineer,bachelor,Science in Earth,natural science
Michael Fincke,"Master of Science in Aeronautics and Astronautics (Stanford University, 1990)",American,58.0,Michael Fincke,flight engineer,bachelor,Science in Aeronautics and Astronautics,natural science
Michael Fincke,"Master of Science in Planetary Geology (University of Houston, 2001)",American,58.0,Michael Fincke,flight engineer,bachelor,Science in Planetary Geology,natural science
Michael Fincke,"Bachelor of Science in Aeronautics and Astronautics (Massachusetts Institute of Technology, 1989)",American,58.0,Michael Fincke,commander,bachelor,Science in Aeronautics and Astronautics,natural science
Michael Fincke,"Bachelor of Science in Earth, Atmospheric and Planetary Sciences (Massachusetts Institute of Technology, 1989)",American,58.0,Michael Fincke,commander,bachelor,Science in Earth,natural science
Michael Fincke,"Master of Science in Aeronautics and Astronautics (Stanford University, 1990)",American,58.0,Michael Fincke,commander,bachelor,Science in Aeronautics and Astronautics,natural science
Michael Fincke,"Master of Science in Planetary Geology (University of Houston, 2001)",American,58.0,Michael Fincke,commander,bachelor,Science in Planetary Geology,natural science
Michael Fincke,"Bachelor of Science in Aeronautics and Astronautics (Massachusetts Institute of Technology, 1989)",American,58.0,Michael Fincke,msp,bachelor,Science in Aeronautics and Astronautics,natural science
Michael Fincke,"Bachelor of Science in Earth, Atmospheric and Planetary Sciences (Massachusetts Institute of Technology, 1989)",American,58.0,Michael Fincke,msp,bachelor,Science in Earth,natural science
Michael Fincke,"Master of Science in Aeronautics and Astronautics (Stanford University, 1990)",American,58.0,Michael Fincke,msp,bachelor,Science in Aeronautics and Astronautics,natural science
Michael Fincke,"Master of Science in Planetary Geology (University of Houston, 2001)",American,58.0,Michael Fincke,msp,bachelor,Science in Planetary Geology,natural science
Michael Foale,"Natural Sciences (BA, Queens' College, Cambridge, 1978)",British American,68.0,Michael Foale,msp,bachelor,,
Michael Foale,"Laboratory Astrophysics (PhD, Queens' College, Cambridge, 1982)",British American,68.0,Michael Foale,msp,doctor,,
Michael Foale,"Natural Sciences (BA, Queens' College, Cambridge, 1978)",British American,68.0,Michael Foale,msp,bachelor,,
Michael Foale,"Laboratory Astrophysics (PhD, Queens' College, Cambridge, 1982)",British American,68.0,Michael Foale,msp,doctor,,
Michael Foale,"Natural Sciences (BA, Queens' College, Cambridge, 1978)",British American,68.0,Michael Foale,msp,bachelor,,
Michael Foale,"Laboratory Astrophysics (PhD, Queens' College, Cambridge, 1982)",British American,68.0,Michael Foale,msp,doctor,,
Michael Foale,"Natural Sciences (BA, Queens' College, Cambridge, 1978)",British American,68.0,Michael Foale,msp,bachelor,,
Michael Foale,"Laboratory Astrophysics (PhD, Queens' College, Cambridge, 1982)",British American,68.0,Michael Foale,msp,doctor,,
Michael Foale,"Natural Sciences (BA, Queens' College, Cambridge, 1978)",British American,68.0,Michael Foale,msp,bachelor,,
Michael Foale,"Laboratory Astrophysics (PhD, Queens' College, Cambridge, 1982)",British American,68.0,Michael Foale,msp,doctor,,
Michael Foale,"Natural Sciences (BA, Queens' College, Cambridge, 1978)",British American,68.0,Michael Foale,commander,bachelor,,
Michael Foale,"Laboratory Astrophysics (PhD, Queens' College, Cambridge, 1982)",British American,68.0,Michael Foale,commander,doctor,,
Michael Bloomfield,Bachelor's degree in Engineering Mechanics (United States Air Force Academy),American,66.0,Michael Bloomfield,pilot,bachelor,,
Michael Bloomfield,"Master's degree in Engineering Management (Old Dominion University, 1993)",American,66.0,Michael Bloomfield,pilot,master,Management,social science
Michael Bloomfield,Bachelor's degree in Engineering Mechanics (United States Air Force Academy),American,66.0,Michael Bloomfield,pilot,bachelor,,
Michael Bloomfield,"Master's degree in Engineering Management (Old Dominion University, 1993)",American,66.0,Michael Bloomfield,pilot,master,Management,social science
Michael Bloomfield,Bachelor's degree in Engineering Mechanics (United States Air Force Academy),American,66.0,Michael Bloomfield,commander,bachelor,,
Michael Bloomfield,"Master's degree in Engineering Management (Old Dominion University, 1993)",American,66.0,Michael Bloomfield,commander,master,Management,social science
Michael McCulley,"Bachelor of Science in Metallurgical Engineering (Purdue University, 1970)",American,82.0,Michael McCulley,pilot,bachelor,Science in Metallurgical Engineering,engineering
Michael McCulley,"Master of Science in Metallurgical Engineering (Purdue University, 1970)",American,82.0,Michael McCulley,pilot,bachelor,Science in Metallurgical Engineering,engineering
Michael Gernhardt,"Bachelor of Science in Physics (Vanderbilt University, 1978)",U.S.,69.0,Michael Gernhardt,msp,bachelor,Science in Physics,natural science
Michael Gernhardt,"Master of Science in Bioengineering (University of Pennsylvania, 1983)",U.S.,69.0,Michael Gernhardt,msp,bachelor,Science in Bioengineering,engineering
Michael Gernhardt,"Doctorate in Bioengineering (University of Pennsylvania, 1991)",U.S.,69.0,Michael Gernhardt,msp,doctor,,
Michael Gernhardt,"Bachelor of Science in Physics (Vanderbilt University, 1978)",U.S.,69.0,Michael Gernhardt,msp,bachelor,Science in Physics,natural science
Michael Gernhardt,"Master of Science in Bioengineering (University of Pennsylvania, 1983)",U.S.,69.0,Michael Gernhardt,msp,bachelor,Science in Bioengineering,engineering
