name,degrees,education,occupations,time_in_space,interests,nationality,age
Kathryn D. Sullivan,"['Bachelor of Science in Earth Sciences (University of California, Santa Cruz, 1973)', 'Doctor of Philosophy in Geology (Dalhousie University, 1978)']","[{'institution': 'University of California, Santa Cruz', 'year': 1973, 'qualification': 'Bachelor of Science in Earth Sciences'}, {'institution': 'Dalhousie University', 'year': 1978, 'qualification': 'Doctor of Philosophy in Geology'}]","['Geologist', 'Oceanographer', 'NASA Astronaut', 'US Navy Officer']",22d 4h 49m,[],American,73.0
Kathryn P. Hire,"['Bachelor of Science in Engineering and Management (United States Naval Academy, 1981)', 'Master of Science in Space Technology (Florida Institute of Technology, 1991)']","[{'institution': 'United States Naval Academy', 'year': 1981, 'qualification': 'Bachelor of Science in Engineering and Management'}, {'institution': 'Florida Institute of Technology', 'year': 1991, 'qualification': 'Master of Science in Space Technology'}]","['Captain, USN', 'NASA Astronaut', 'Orbiter Processing Facility 3 Activation Engineer', 'Space Shuttle Orbiter Mechanical Systems Engineer', 'Space Shuttle Test Project Engineer']",29d 15h 59m,[],United States,66.0
Ken Bowersox,"['Bachelor of Science in aerospace engineering (United States Naval Academy, 1978)', 'Master of Science in mechanical engineering (Columbia University, 1979)']","[{'institution': 'United States Naval Academy', 'year': 1978, 'qualification': 'Bachelor of Science in aerospace engineering'}, {'institution': 'Columbia University', 'year': 1979, 'qualification': 'Master of Science in mechanical engineering'}]","['NASA Associate Administrator for Space Operations', 'Captain, US Navy', 'NASA Astronaut', 'Vice President of Astronaut Safety and Mission Assurance at SpaceX']","211 days, 14 hours and 12 minutes",[],United States,68.0
Ken Mattingly,"['Bachelor of Science in Aeronautical Engineering (Auburn University, 1958)']","[{'institution': 'Auburn University', 'year': 1958, 'qualification': 'Bachelor of Science in Aeronautical Engineering'}]","['American aviator', 'Aeronautical engineer', 'Test pilot', 'Rear admiral in the United States Navy', 'Astronaut']",21d 4h 34m,[],United States,87.0
Kenneth D. Cameron,"['Bachelor of Science in Aeronautics and Astronautics (Massachusetts Institute of Technology, 1978)', 'Master of Science in Aeronautics and Astronautics (Massachusetts Institute of Technology, 1979)', 'Master of Business Administration (Michigan State University, 2002)']","[{'institution': 'Massachusetts Institute of Technology', 'year': 1978, 'qualification': 'Bachelor of Science in Aeronautics and Astronautics'}, {'institution': 'Massachusetts Institute of Technology', 'year': 1979, 'qualification': 'Master of Science in Aeronautics and Astronautics'}, {'institution': 'Michigan State University', 'year': 2002, 'qualification': 'Master of Business Administration'}]","['Naval Aviator', 'Test Pilot', 'Engineer', 'U.S. Marine Corps Officer', 'NASA Astronaut']",23d 10h 11m,"['flying', 'athletics', 'woodworking', 'reading', 'shooting', 'motorcycle riding', 'amateur radio']",United States,75.0
Kenneth Dale Cockrell,"[""Bachelor's degree in Mechanical Engineering (University of Texas, Austin, 1972)"", ""Master's in Aeronautical Systems (University of West Florida, 1974)""]","[{'institution': 'University of Texas, Austin', 'year': 1972, 'qualification': ""Bachelor's degree in Mechanical Engineering""}, {'institution': 'University of West Florida', 'year': 1974, 'qualification': ""Master's in Aeronautical Systems""}]","['Astronaut', 'Engineer', 'Captain, USN', 'Test Pilot']",64d 12h 24m,"['sport flying', 'snow skiing', 'water skiing']",United States,75.0
Kenneth S. Reightler Jr.,"['Aerospace Engineering (BS, United States Naval Academy, 1973)', 'Aeronautical Engineering (MS, U.S. Naval Postgraduate School, 1984)', 'Systems Management (MS, University of Southern California, 1984)']","[{'institution': 'United States Naval Academy', 'year': 1973, 'qualification': 'BS in Aerospace Engineering'}, {'institution': 'U.S. Naval Postgraduate School', 'year': 1984, 'qualification': 'MS in Aeronautical Engineering'}, {'institution': 'University of Southern California', 'year': 1984, 'qualification': 'MS in Systems Management'}]","['Captain, USN', 'NASA Astronaut', 'Program Manager, Lockheed Martin', 'Vice President of the Science, Engineering, Analysis, and Test (SEAT) Operation', 'Senior Vice President (COO), Lockheed Martin Space Operations', 'President of Lockheed Martin Space Operations', 'Vice President, NASA Program Integration, Lockheed Martin Space Systems Co.', 'Vice President, Engineering Services, ATK Space Systems Division', 'Robert A. Heinlein Distinguished Professor of Aerospace Engineering, U.S. Naval Academy', 'Instructor-skipper and Officer in Tactical Command, Offshore Sail Training Squadron']",13d 15h 36m,"['sailing', 'racing Chesapeake Bay Log Canoes', 'reading', 'music', 'hiking', 'travel']",United States,74.0
Kenneth Todd Ham,"['Aerospace Engineering (United States Naval Academy, 1987)', 'Aeronautical Engineering (Naval Postgraduate School, 1996)']","[{'institution': 'United States Naval Academy', 'year': 1987, 'qualification': 'BS in Aerospace Engineering'}, {'institution': 'Naval Postgraduate School', 'year': 1996, 'qualification': 'MS in Aeronautical Engineering'}]","['Captain, United States Navy', 'Astronaut', 'Chair of the Aerospace Engineering Department, US Naval Academy', 'Director Technology Development, Tactical Air Support Inc', 'GM of Flight Operations, Tactical Air Support Inc', 'Chief Operating Officer, Tactical Air Support Inc']",25d 12h 41m,"['baseball', 'running', 'weight lifting', 'general aviation', 'snow skiing', 'water skiing', 'skydiving', 'scuba diving']",American,60.0
Kent V. Rominger,"['Bachelor of Science in Civil Engineering (Colorado State University, 1978)', 'Master of Science in Aeronautical Engineering (U.S. Naval Postgraduate School, 1987)']","[{'institution': 'Colorado State University', 'year': 1978, 'qualification': 'Bachelor of Science in Civil Engineering'}, {'institution': 'U.S. Naval Postgraduate School', 'year': 1987, 'qualification': 'Master of Science in Aeronautical Engineering'}]","['American former astronaut', 'former NASA Chief of the Astronaut Office', 'captain in the United States Navy', 'Vice President of Advanced Programs at ATK Launch Systems Group']",67d 2h 58m,[],United States,69.0
Kevin A. Ford,"['Aerospace Engineering (University of Notre Dame, 1982)', 'International Relations (Troy State University, 1989)', 'Aerospace Engineering (University of Florida, 1994)', 'Astronautical Engineering (Air Force Institute of Technology of Air University, 1997)']","[{'institution': 'University of Notre Dame', 'year': 1982, 'qualification': 'Bachelor of Science in Aerospace Engineering'}, {'institution': 'Troy State University', 'year': 1989, 'qualification': 'Master of Science in International Relations'}, {'institution': 'University of Florida', 'year': 1994, 'qualification': 'Master of Science in Aerospace Engineering'}, {'institution': 'Air Force Institute of Technology of Air University', 'year': 1997, 'qualification': 'Ph.D. in Astronautical Engineering'}]","['Colonel, USAF', 'NASA Astronaut', 'Director Of Operations at Gagarin Cosmonaut Training Center']",157d 13h 9m,['riding the Minardi F1 two-seater race car'],United States,65.0
Kevin P. Chilton,"['Bachelor of Science in engineering sciences (United States Air Force Academy, 1976)', 'Master of Science in mechanical engineering (Columbia University, 1977)']","[{'institution': 'United States Air Force Academy', 'year': 1976, 'qualification': 'Bachelor of Science in engineering sciences'}, {'institution': 'Columbia University', 'year': 1977, 'qualification': 'Master of Science in mechanical engineering'}]","['Mechanical Engineer', 'General, USAF', 'Test Pilot', 'NASA Astronaut']",29d 8h 22m,"['reading', 'all sports', 'running', 'snow skiing', 'sailing', 'softball']",United States,70.0
Kevin R. Kregel,"['Bachelor of Science in Astronautical Engineering (United States Air Force Academy, 1978)', 'Master of Science in Public Administration (Troy University, 1988)']","[{'institution': 'United States Air Force Academy', 'year': 1978, 'qualification': 'Bachelor of Science in Astronautical Engineering'}, {'institution': 'Troy University', 'year': 1988, 'qualification': 'Master of Science in Public Administration'}]","['Astronaut', 'Colonel, USAF', 'Aerospace Engineer', 'Instructor Pilot', 'Pilot for Southwest Airlines']","52 days, 17 hours, 20 minutes and 5 seconds",[],American,69.0
Kimiya Yui,['BS (National Defense Academy of Japan)'],"[{'institution': 'National Defense Academy of Japan', 'year': None, 'qualification': 'BS'}, {'institution': 'Joint Forces Staff College', 'year': None, 'qualification': None}]","['Astronaut', 'Fighter Pilot', 'Lieutenant Commander (Ret.)', 'Aquanaut']","191 days, 1 hour, 48 minutes",[],Japan,55.0
Kjell N. Lindgren,"['Bachelor of Science (BS) in biology with a minor in Mandarin Chinese (United States Air Force Academy, 1995)', 'Master of Science (MS) in cardiovascular physiology (Colorado State University, 1996)', 'Doctorate of Medicine (MD) (University of Colorado, 2002)', 'Master of Health Informatics (MHI) (University of Minnesota, 2006)', 'Master of Public Health (MPH) (University of Texas Medical Branch, 2007)']","[{'institution': 'United States Air Force Academy', 'year': 1995, 'qualification': 'Bachelor of Science (BS) in biology with a minor in Mandarin Chinese'}, {'institution': 'Colorado State University', 'year': 1996, 'qualification': 'Master of Science (MS) in cardiovascular physiology'}, {'institution': 'University of Colorado', 'year': 2002, 'qualification': 'Doctorate of Medicine (MD)'}, {'institution': 'University of Minnesota', 'year': 2006, 'qualification': 'Master of Health Informatics (MHI)'}, {'institution': 'University of Texas Medical Branch', 'year': 2007, 'qualification': 'Master of Public Health (MPH)'}]","['Astronaut', 'Flight Engineer', 'Commander of NEEMO 22']",312d 5h 11m,"['running', 'SCUBA diving', 'reading', 'movies', 'photography', 'amateur astronomy', 'working with computers', 'church activities']",American,52.0
Klaus-Dietrich Flade,"['Aerospace engineering (Bundeswehr University Munich, 1980)']","[{'institution': 'Bundeswehr University Munich', 'year': 1980, 'qualification': 'Aerospace engineering'}, {'institution': None, 'year': 1989, 'qualification': 'Test pilot training'}]","['Test Pilot', 'Lieutenant colonel, German Air Force', 'Cosmonaut']",7d 21h 57m,[],Germany,73.0
Koichi Wakata,"['Bachelor of Science in Aeronautical Engineering (Kyushu University, 1987)', 'Master of Science in Applied Mechanics (Kyushu University, 1989)', 'Doctorate in Aerospace Engineering (Kyushu University, 2004)']","[{'institution': 'Kyushu University', 'year': 1987, 'qualification': 'Bachelor of Science in Aeronautical Engineering'}, {'institution': 'Kyushu University', 'year': 1989, 'qualification': 'Master of Science in Applied Mechanics'}, {'institution': 'Kyushu University', 'year': 2004, 'qualification': 'Doctorate in Aerospace Engineering'}]","['Structural Engineer', 'Astronaut', 'NASA Robotics Instructor Astronaut']","504 days, 18 hours, 33 minutes",[],Japan,62.0
Konstantin Feoktistov,"['Engineering (Bauman Moscow Higher Technical School, 1949)', 'Doctorate in Physics']","[{'institution': 'Bauman Moscow Higher Technical School', 'year': 1949, 'qualification': 'Engineering'}, {'institution': None, 'year': None, 'qualification': 'Doctorate in Physics'}]","['Engineer', 'Cosmonaut', 'Professor']",1d 00h 17m,[],Soviet Union & Russia,
Konstantin Kozeyev,[],"[{'institution': 'Moscow Aviation Technology Institute', 'year': None, 'qualification': 'graduate student'}]","['Flight engineer', 'Cosmonaut']",9d 19h 59min,[],Russia,57.0
Laurel Clark,"['Bachelor of Science in Zoology (University of Wisconsin–Madison, 1983)', 'Doctorate in Medicine (University of Wisconsin–Madison, 1987)']","[{'institution': 'University of Wisconsin–Madison', 'year': 1983, 'qualification': 'Bachelor of Science in Zoology'}, {'institution': 'University of Wisconsin–Madison', 'year': 1987, 'qualification': 'Doctorate in Medicine'}]","['NASA astronaut', 'Medical doctor', 'United States Navy captain', 'Space Shuttle mission specialist', 'Naval Flight Surgeon']","15 days, 22 hours and 21 minutes",[],American,41.0
Lawrence J. DeLucas,"['Doctorate in Optometry (University of Alabama at Birmingham, 1981)', 'Doctorate in Biochemistry (University of Alabama at Birmingham, 1981)']","[{'institution': 'University of Alabama at Birmingham', 'year': 1981, 'qualification': 'Doctorate in Optometry'}, {'institution': 'University of Alabama at Birmingham', 'year': 1981, 'qualification': 'Doctorate in Biochemistry'}]","['Biochemist', 'Payload Specialist']",13d 19h 30m,[],American,75.0
Lee Joseph Archambault,"['Bachelor of Science in Aeronautical and Astronautical Engineering (University of Illinois, 1982)', 'Master of Science in Aeronautical and Astronautical Engineering (University of Illinois, 1984)']","[{'institution': 'University of Illinois at Urbana-Champaign', 'year': 1982, 'qualification': 'Bachelor of Science in Aeronautical and Astronautical Engineering'}, {'institution': 'University of Illinois at Urbana-Champaign', 'year': 1984, 'qualification': 'Master of Science in Aeronautical and Astronautical Engineering'}]","['Colonel, USAF', 'Test Pilot', 'NASA Astronaut']",26d 15h 33m,"['bicycling', 'weightlifting', 'playing ice hockey']",American,65.0
Lee Morin,"['Bachelor of Science in Mathematical/Electrical science (University of New Hampshire, 1974)', 'Master of Science in Biochemistry (New York University, 1978)', 'Doctorate of Medicine (New York University School of Medicine, 1981)', 'Doctorate of Microbiology (New York University, 1982)', 'Master of Public Health (University of Alabama at Birmingham, 1988)', 'Master in Science in Physics (University of Houston Clear Lake, 2008)']","[{'institution': 'University of New Hampshire', 'year': 1974, 'qualification': 'Bachelor of Science in Mathematical/Electrical science'}, {'institution': 'New York University', 'year': 1978, 'qualification': 'Master of Science in Biochemistry'}, {'institution': 'New York University School of Medicine', 'year': 1981, 'qualification': 'Doctorate of Medicine'}, {'institution': 'New York University', 'year': 1982, 'qualification': 'Doctorate of Microbiology'}, {'institution': 'University of Alabama at Birmingham', 'year': 1988, 'qualification': 'Master of Public Health'}, {'institution': 'University of Houston Clear Lake', 'year': 2008, 'qualification': 'Master in Science in Physics'}]","['United States Navy Captain', 'NASA astronaut', 'Mission specialist', 'Naval Flight Surgeon', 'Undersea Medical Officer', 'Diving Medical Officer', 'Deputy Assistant Secretary for Health, Space, and Science']","10 days, 19 hours and 42 minutes","['math', 'jogging']",United States,73.0
Leland D. Melvin,"[""Bachelor's degree in Chemistry (University of Richmond, 1985)"", 'Master of Science degree in Materials Science Engineering (University of Virginia, 1989)']","[{'institution': 'University of Richmond', 'year': 1985, 'qualification': ""Bachelor's degree in Chemistry""}, {'institution': 'University of Virginia', 'year': 1989, 'qualification': 'Master of Science degree in Materials Science Engineering'}]","['Engineer', 'Retired NASA astronaut', 'Mission specialist', 'NASA Associate Administrator for Education', 'Professional football player', 'Wide receiver']",23d 13h 28m,"['photography', 'piano', 'reading', 'music', 'cycling', 'tennis', 'snowboarding', 'cooking', 'walking his two dogs']",American,61.0
Leonid Kadenyuk,"['Pilot-Engineer (Chernihiv Higher Military Aviation School of Pilots, 1971)', 'Test Pilot (Test Pilot Training Center, 1977)']","[{'institution': 'Chernihiv Higher Military Aviation School of Pilots', 'year': 1971, 'qualification': 'Pilot-Engineer'}, {'institution': 'Test Pilot Training Center', 'year': 1977, 'qualification': 'Test Pilot'}, {'institution': 'Moscow Aviation Institute', 'year': 1989, 'qualification': None}]","['Test pilot', 'Major General, Ukrainian Air Force', 'Cosmonaut', 'Deputy Inspector General of the General Military Inspectorate', 'Adviser to the Prime Minister of Ukraine', 'Chairman of the State Space Agency of Ukraine', 'President of the Aerospace Society of Ukraine', 'Member of Verkhovna Rada']",15d 16h 34m,['observing and photographing the Earth and space'],Ukraine,
Leonid Kizim,[],"[{'institution': 'Higher Air Force School', 'year': 1975, 'qualification': None}]","['Pilot', 'Colonel General, Soviet Air Force', 'Soviet Cosmonaut', 'Deputy Director Satellite Control-Center of the Russian Ministry of Defense', 'Director of the Military Engineering Academy of Aeronautics and Astronautics', 'Director of the A.F. Mozhaysky Military-Space Academy']",374 days 17 hours 56 minutes,[],Soviet,
Leonid Popov,[],[],['Pilot'],200d 14h 45m,[],Ukrainian,80.0
Leroy Chiao,"['B.S. in chemical engineering (University of California, Berkeley, 1983)', 'M.S. in chemical engineering (University of California, Santa Barbara, 1985)', 'Ph.D. in chemical engineering (University of California, Santa Barbara, 1987)']","[{'institution': 'University of California, Berkeley', 'year': 1983, 'qualification': 'B.S. in chemical engineering'}, {'institution': 'University of California, Santa Barbara', 'year': 1985, 'qualification': 'M.S. in chemical engineering'}, {'institution': 'University of California, Santa Barbara', 'year': 1987, 'qualification': 'Ph.D. in chemical engineering'}]","['Chemical engineer', 'Retired NASA astronaut', 'Entrepreneur', 'Motivational speaker', 'Engineering consultant']",229d 7h 38m,"['flying', 'downhill skiing']",United States,65.0
Lev Dyomin,['Doctoral degree in engineering (Soviet Air Force Engineering Academy)'],"[{'institution': 'Soviet Air Force Engineering Academy', 'year': None, 'qualification': 'Doctoral degree in engineering'}]","['Pilot', 'Colonel, Soviet Air Force']",2d 00h 12m,[],Soviet,
Linda M. Godwin,"['Bachelor of Science in mathematics and physics (Southeast Missouri State University, 1974)', 'Master of Science in physics (University of Missouri, 1976)', 'Doctorate in physics (University of Missouri, 1980)']","[{'institution': 'Southeast Missouri State University', 'year': 1974, 'qualification': 'Bachelor of Science in mathematics and physics'}, {'institution': 'University of Missouri', 'year': 1976, 'qualification': 'Master of Science in physics'}, {'institution': 'University of Missouri', 'year': 1980, 'qualification': 'Doctorate in physics'}]","['American scientist', 'Retired NASA astronaut', 'Professor in the Department of Physics and Astronomy at the University of Missouri']",38d 6h 13m,[],United States,73.0
Lisa Nowak,"['Bachelor of Science in Aeronautical Engineering (United States Naval Academy, 1985)', 'Master of Science in Aeronautical Engineering (Naval Postgraduate School, 1992)', 'Degree in Aeronautical and Astronautical Engineering (Naval Postgraduate School, 1992)']","[{'institution': 'United States Naval Academy', 'year': 1985, 'qualification': 'Bachelor of Science in Aeronautical Engineering'}, {'institution': 'Naval Postgraduate School', 'year': 1992, 'qualification': 'Master of Science in Aeronautical Engineering'}, {'institution': 'Naval Postgraduate School', 'year': 1992, 'qualification': 'Degree in Aeronautical and Astronautical Engineering'}]","['Aeronautical Engineer', 'NASA Astronaut', 'United States Navy Officer', 'Naval Flight Officer', 'Test Pilot']",12d 18h 36m,"['Girl Scout', 'Société Honoraire de Français', 'math team', 'student council', 'field hockey', 'track and field athletics']",United States,62.0
Liu Boming,[],"[{'institution': 'PLA Air Force Changchun Flight College', 'year': None, 'qualification': None}, {'institution': 'Beijing Institute of Technology', 'year': 2018, 'qualification': 'PhD candidate'}]","['Fighter pilot, PLAAF', 'Major general, PLASSF', 'Cosmonaut']",95 days and 38 minutes,[],China,59.0
Liu Wang,[],"[{'institution': 'PLA Air Force Aviation University', 'year': 1988, 'qualification': 'Fighter pilot'}]","['Pilot', 'Major General, PLASSF', 'Astronaut']","12 days, 15 hours and 25 minutes",[],China,56.0
Lloyd Blaine Hammond Jr.,"['Bachelor of Science in engineering, science, and mechanics (United States Air Force Academy, 1973)', 'Master of Science in engineering science and mechanics (Georgia Institute of Technology, 1974)']","[{'institution': 'United States Air Force Academy', 'year': 1973, 'qualification': 'Bachelor of Science in engineering, science, and mechanics'}, {'institution': 'Georgia Institute of Technology', 'year': 1974, 'qualification': 'Master of Science in engineering science and mechanics'}]","['Colonel, USAF', 'NASA astronaut', 'Gulfstream test pilot']",19d 6h 11m,[],U.S.,73.0
Loren Shriver,"['Bachelor of Science degree in Aeronautical Engineering (United States Air Force Academy, 1967)', 'Master of Science degree in Astronautical Engineering (Purdue University, 1968)']","[{'institution': 'United States Air Force Academy', 'year': 1967, 'qualification': 'Bachelor of Science in Aeronautical Engineering'}, {'institution': 'Purdue University', 'year': 1968, 'qualification': 'Master of Science in Astronautical Engineering'}]","['NASA astronaut', 'Aviator', 'Retired US Air Force Colonel', 'Deputy Director for Launch and Payload Processing at Kennedy Space Center', 'Space Shuttle program Manager for Launch Integration', 'Vice-president of engineering and integration', 'Chief technology officer with United Space Alliance']",16d 2h 4m,[],United States,80.0
Luca Parmitano,"[""Master's degree in Political Sciences (University of Naples Federico II, 1999)"", ""Master's degree in Experimental Flight Test Engineering (Institut Supérieur de l'Aéronautique et de l'Espace, 2009)""]","[{'institution': ""Liceo Scientifico Statale 'Galileo Galilei', Catania, Italy"", 'year': 1995, 'qualification': None}, {'institution': 'Mission Viejo High School, Mission Viejo, California, USA', 'year': 1993, 'qualification': 'Exchange Student'}, {'institution': 'University of Naples Federico II, Italy', 'year': 1999, 'qualification': ""Master's degree in Political Sciences""}, {'institution': 'Italian Accademia Aeronautica, Pozzuoli, Italy', 'year': 2000, 'qualification': None}, {'institution': 'Euro-NATO Joint Jet Pilot Training Program, Sheppard Air Force Base, Texas, USA', 'year': 2001, 'qualification': 'Basic Training'}, {'institution': ""Institut Supérieur de l'Aéronautique et de l'Espace, Toulouse, France"", 'year': 2009, 'qualification': ""Master's degree in Experimental Flight Test Engineering""}]","['Pilot', 'Italian Air Force', 'Test Pilot', 'Colonel', 'Astronaut of the European Space Agency']",366 days 23 hours 01 minute,"['scuba diving', 'snowboarding', 'skydiving', 'weight training', 'swimming', 'reading', 'listening to and playing music']",Italy,48.0
M. Achmed Faris,[],[],[],,[],,
Mae Carol Jemison,"['B.S. degree in chemical engineering (Stanford University, 1977)', 'B.A. degree in African and African-American studies (Stanford University, 1977)', 'M.D. degree (Cornell University, 1981)']","[{'institution': 'Stanford University', 'year': 1977, 'qualification': 'B.S. degree in chemical engineering'}, {'institution': 'Stanford University', 'year': 1977, 'qualification': 'B.A. degree in African and African-American studies'}, {'institution': 'Cornell University', 'year': 1981, 'qualification': 'M.D. degree'}]","['Engineer', 'Physician', 'Former NASA Astronaut', 'Mission Specialist', 'General Practitioner', 'Medical Officer (Peace Corps)', 'Professor of Environmental Studies', 'Consulting Firm Founder']",7d 22h 30m,"['dance', 'nature', 'human physiology', 'science', 'space', 'Star Trek']",United States,68.0
Maksim Surayev,"['Pilot-Engineer (Kacha Air Force Pilot School, 1994)', 'Pilot-Engineer-Researcher (Zhukovski Air Force Academy, 1997)', 'Law Degree (Russian Academy of Civil Service, 2007)']","[{'institution': 'Kacha Air Force Pilot School', 'year': 1994, 'qualification': 'Pilot-Engineer'}, {'institution': 'Zhukovski Air Force Academy', 'year': 1997, 'qualification': 'Pilot-Engineer-Researcher'}, {'institution': 'Russian Academy of Civil Service', 'year': 2007, 'qualification': 'Law Degree'}]","['Fighter Pilot', 'Colonel', 'Cosmonaut', 'Politician']",334d 12h 11min,"['sports', 'reading']",Russia,53.0
Mamoru Mohri,"['BSc in chemistry (Hokkaido University, 1970)', 'MSc in chemistry (Hokkaido University, 1972)', 'PhD in chemistry (Flinders University, 1976)']","[{'institution': 'Hokkaido University', 'year': 1970, 'qualification': 'BSc in chemistry'}, {'institution': 'Hokkaido University', 'year': 1972, 'qualification': 'MSc in chemistry'}, {'institution': 'Flinders University', 'year': 1976, 'qualification': 'PhD in chemistry'}]","['Engineer', 'NASDA astronaut', 'Chief Executive Director Emeritus for the Miraikan']",19d 04h 09m,[],Japanese,77.0
Marc Garneau,"['Bachelor of Science in Engineering Physics (Royal Military College of Canada, 1970)', 'PhD in Electrical Engineering (Imperial College London, 1973)']","[{'institution': 'Royal Military College of Canada', 'year': 1970, 'qualification': 'Bachelor of Science in Engineering Physics'}, {'institution': 'Imperial College London', 'year': 1973, 'qualification': 'PhD in Electrical Engineering'}, {'institution': 'Canadian Forces Command and Staff College', 'year': 1983, 'qualification': None}]","['Canadian Armed Forces officer', 'Astronaut', 'Politician', 'Naval Captain', 'Member of Parliament (MP)', 'Minister of Transport', 'Minister of Foreign Affairs', 'President of the Canadian Space Agency']","29 days, 2 hours, 1 minute",[],Canada,76.0
Marcos Pontes,['Aeronautical Engineering (Instituto Tecnológico de Aeronáutica)'],"[{'institution': 'Instituto Tecnológico de Aeronáutica', 'year': None, 'qualification': 'Aeronautical Engineering'}, {'institution': 'Naval Postgraduate School, US Navy', 'year': None, 'qualification': None}]","['Fighter pilot', 'Astronaut', 'Engineer', 'Politician', 'Author', 'Lieutenant colonel, Brazilian Air Force']",9d 21h 17m,[],Brazil,62.0
Mario Runco Jr.,"['Bachelor of Science in Meteorology and Physical Oceanography (City College of New York, 1974)', 'Master of Science in Meteorology (Rutgers University, 1976)']","[{'institution': 'City College of New York', 'year': 1974, 'qualification': 'Bachelor of Science in Meteorology and Physical Oceanography'}, {'institution': 'Rutgers University', 'year': 1976, 'qualification': 'Master of Science in Meteorology'}]","['Lieutenant Commander, USN (ret.)', 'Former United States Naval Officer', 'NASA Astronaut', 'New Jersey State Trooper', 'USGS Research Hydrologist']",22d 23h 8m,['intercollegiate ice hockey'],United States,73.0
Mark C. Lee,"['Bachelor of Science in Civil Engineering (United States Air Force Academy, 1974)', 'Master of Science in Mechanical Engineering (Massachusetts Institute of Technology, 1980)']","[{'institution': 'United States Air Force Academy', 'year': 1974, 'qualification': 'Bachelor of Science in Civil Engineering'}, {'institution': 'Massachusetts Institute of Technology', 'year': 1980, 'qualification': 'Master of Science in Mechanical Engineering'}]","['Colonel, USAF', 'NASA Astronaut']",32d 21h 46m,[],U.S.,73.0
Mark Kelly,"['Bachelor of Science - Marine Engineering and Nautical Science (United States Merchant Marine Academy, 1986)', 'Master of Science - Aeronautical Engineering (Naval Postgraduate School, 1994)']","[{'institution': 'United States Merchant Marine Academy', 'year': 1986, 'qualification': 'Bachelor of Science - Marine Engineering and Nautical Science'}, {'institution': 'Naval Postgraduate School', 'year': 1994, 'qualification': 'Master of Science - Aeronautical Engineering'}]","['Captain, United States Navy', 'Naval Aviator', 'Test Pilot', 'Pilot, NASA Space Shuttle', 'Commander, NASA Space Shuttle', 'U.S. Senator']",54 days 2 hours 4 minutes,[],United States,61.0
Mark L. Polansky,"['Bachelor of Science in aeronautical and astronautical engineering (Purdue University, 1978)', 'Master of Science in aeronautics and astronautics (Purdue University, 1978)']","[{'institution': 'Purdue University', 'year': 1978, 'qualification': 'Bachelor of Science in aeronautical and astronautical engineering'}, {'institution': 'Purdue University', 'year': 1978, 'qualification': 'Master of Science in aeronautics and astronautics'}]","['Aerospace engineer', 'Research pilot', 'NASA astronaut']",41d 10h 50m,[],American,69.0
Mark Neil Brown,"['Bachelor of Science in aeronautical and astronautical engineering (Purdue University, 1973)', 'Master of Science in astronautical engineering (U.S. Air Force Institute of Technology, 1980)']","[{'institution': 'Purdue University', 'year': 1973, 'qualification': 'Bachelor of Science in aeronautical and astronautical engineering'}, {'institution': 'U.S. Air Force Institute of Technology', 'year': 1980, 'qualification': 'Master of Science in astronautical engineering'}]","['Engineer', 'Colonel, United States Air Force', 'NASA Astronaut']",10d 9h 27m,"['fishing', 'hiking', 'jogging', 'all sports', 'chess']",American,73.0
Mark Shuttleworth,['Bachelor of Business Science in Finance and Information Systems (University of Cape Town)'],"[{'institution': 'University of Cape Town', 'year': None, 'qualification': 'Bachelor of Business Science in Finance and Information Systems'}]",['Entrepreneur'],9d 21h 25m,[],South African and British,52.0
Mark T. Vande Hei,"[""Bachelor of Science in Physics (Saint John's University, 1989)"", 'Master of Science in Applied Physics (Stanford University, 1999)']","[{'institution': ""Saint John's University"", 'year': 1989, 'qualification': 'Bachelor of Science in Physics'}, {'institution': 'Stanford University', 'year': 1999, 'qualification': 'Master of Science in Applied Physics'}]","['United States Army officer', 'NASA astronaut', 'Flight engineer']",523d 8h 59m,[],United States,58.0
Marsha Ivins,"['Bachelor of Science in Aerospace Engineering (University of Colorado at Boulder, 1973)']","[{'institution': 'University of Colorado at Boulder', 'year': 1973, 'qualification': 'Bachelor of Science in Aerospace Engineering'}]","['Astronaut', 'Flight Engineer', 'Co-pilot']",55d 21h 48m,[],American,74.0
Martin J. Fettman,"['Bachelor of Science in Animal Nutrition (Cornell University, 1976)', 'Doctor of Veterinary Medicine (Cornell University, 1980)', 'Master of Science in Nutrition (Cornell University, 1980)', 'Doctor of Philosophy in Physiology (Colorado State University, 1982)', 'Diplomate in Veterinary Clinical Pathology (American College of Veterinary Pathologists, 1984)']","[{'institution': 'Cornell University', 'year': 1976, 'qualification': 'Bachelor of Science in Animal Nutrition'}, {'institution': 'Cornell University', 'year': 1980, 'qualification': 'Doctor of Veterinary Medicine'}, {'institution': 'Cornell University', 'year': 1980, 'qualification': 'Master of Science in Nutrition'}, {'institution': 'Colorado State University', 'year': 1982, 'qualification': 'Doctor of Philosophy in Physiology'}, {'institution': 'American College of Veterinary Pathologists', 'year': 1984, 'qualification': 'Diplomate in Veterinary Clinical Pathology'}]","['Pathologist', 'Payload Specialist']",14d 00h 12m,"['scuba diving', 'amateur radio', 'flying', 'bicycling', 'pistol marksmanship', 'camping and mountain hiking', 'photography', 'travel', 'reading (mysteries)', 'music (jazz and classical)']",American,68.0
