Profile.Astronaut Numbers.Overall,Profile.Astronaut Numbers.Nationwide,Profile.Name,Profile.Gender,Profile.Birth Year,Profile.Nationality,Profile.Military,Profile.Selection.Group,Profile.Selection.Year,Profile.Lifetime Statistics.Mission count,Mission.Role,Mission.Year,Mission.Name,Mission.Vechicles.Ascent,Mission.Vechicles.Orbit,Mission.Vechicles.Decent,Mission.Durations.Mission duration,Profile.Lifetime Statistics.Mission duration,Mission.Durations.EVA duration,Profile.Lifetime Statistics.EVA duration,cleaned_name,international_country,international_gender,international_flights,international_total_flights,international_flight_time,wiki_degrees,wiki_education,wiki_occupations,wiki_time_in_space,wiki_interests,wiki_nationality,wiki_age
282,177,"Brown, Curtis L., Jr.",male,1956,U.S.,True,NASA- 12,1987,6,commander,1997,STS-85,STS-85,STS-85,STS-85,284.5,1381.0,0.0,0.0,Brown Curtis L. Jr.,,,,,,Bachelor Of Science; Bachelor Of Science Degree In Electrical Engineering From,"[3]
He is a member of the United StatesAir Force Association, the United States Air Force Academy Association of Graduates, and theExperimental Aircraft Association; In June 1985, he attended USAF Test Pilot School at Edwards Air Force Base , California; - He is a member of the United States Air Force Association , the United States Air Force Academy Association of Graduates, and the Experimental Aircraft Association; He graduated from East Bladen High School in Elizabethtown, North Carolina in 1974 and received a Bachelor of Science degree in electrical engineering from the United States Air Force Academy in 1978; [1]
In January 1983, he attendedUSAF Fighter Weapons SchoolatNellis Air Force Base,Nevadaand returned to Davis-Monthan AFB as aninstructorin A-10 weapons and tactics",Commander; Lieutenant; Test Pilot; Colonel; General,383 hours in space,,American,1956
282,177,"Brown, Curtis L., Jr.",male,1956,U.S.,True,NASA- 12,1987,6,commander,1998,STS-95,STS-95,STS-95,STS-95,213.5,1381.0,0.0,0.0,Brown Curtis L. Jr.,,,,,,Bachelor Of Science; Bachelor Of Science Degree In Electrical Engineering From,"[3]
He is a member of the United StatesAir Force Association, the United States Air Force Academy Association of Graduates, and theExperimental Aircraft Association; In June 1985, he attended USAF Test Pilot School at Edwards Air Force Base , California; - He is a member of the United States Air Force Association , the United States Air Force Academy Association of Graduates, and the Experimental Aircraft Association; He graduated from East Bladen High School in Elizabethtown, North Carolina in 1974 and received a Bachelor of Science degree in electrical engineering from the United States Air Force Academy in 1978; [1]
In January 1983, he attendedUSAF Fighter Weapons SchoolatNellis Air Force Base,Nevadaand returned to Davis-Monthan AFB as aninstructorin A-10 weapons and tactics",Commander; Lieutenant; Test Pilot; Colonel; General,383 hours in space,,American,1956
282,177,"Brown, Curtis L., Jr.",male,1956,U.S.,True,NASA- 12,1987,6,commander,1999,STS-103,STS-103,STS-103,STS-103,191.0,1381.0,0.0,0.0,Brown Curtis L. Jr.,,,,,,Bachelor Of Science; Bachelor Of Science Degree In Electrical Engineering From,"[3]
He is a member of the United StatesAir Force Association, the United States Air Force Academy Association of Graduates, and theExperimental Aircraft Association; In June 1985, he attended USAF Test Pilot School at Edwards Air Force Base , California; - He is a member of the United States Air Force Association , the United States Air Force Academy Association of Graduates, and the Experimental Aircraft Association; He graduated from East Bladen High School in Elizabethtown, North Carolina in 1974 and received a Bachelor of Science degree in electrical engineering from the United States Air Force Academy in 1978; [1]
In January 1983, he attendedUSAF Fighter Weapons SchoolatNellis Air Force Base,Nevadaand returned to Davis-Monthan AFB as aninstructorin A-10 weapons and tactics",Commander; Lieutenant; Test Pilot; Colonel; General,383 hours in space,,American,1956
283,178,"Davis, Nancy Jan",female,1953,U.S.,True,NASA- 12,1987,3,MSP,1992,STS-47,STS-47,STS-47,STS-47,190.5,673.0,0.0,0.0,Nancy Jan Davis,United States,Woman,"STS-47 (1992), STS-60 (1994), STS-85 (1997)",3,028:02:06,"Phd; Phd ); Bachelor Of Science; Doctorate In 1985, Both In Mechanical Engineering At The Un; Doctorate","- After graduating from Auburn University in 1977, Davis joined Texaco in Bellaire, Texas , working as a petroleum engineer in tertiary oil recovery; University of Alabama Huntsville; She received a Master of Science degree in 1983 and a doctorate in 1985, both in mechanical engineering at the University of Alabama in Huntsville; Davis did her graduate research at the University of Alabama in Huntsville, studying the long-term strength of pressure vessels due to theviscoelasticcharacteristics of filament-woundcomposites; - Engineering career
  - After graduating from Auburn University in 1977, Davis joined Texaco in Bellaire, Texas , working as a petroleum engineer in tertiary oil recovery",Aerospace Engineer; Commander; Cosmonaut; General; Astronaut,673 hours in space,,American,1953
283,178,"Davis, Nancy Jan",female,1953,U.S.,True,NASA- 12,1987,3,MSP,1994,STS-60,STS-60,STS-60,STS-60,199.0,673.0,0.0,0.0,Nancy Jan Davis,United States,Woman,"STS-47 (1992), STS-60 (1994), STS-85 (1997)",3,028:02:06,"Phd; Phd ); Bachelor Of Science; Doctorate In 1985, Both In Mechanical Engineering At The Un; Doctorate","- After graduating from Auburn University in 1977, Davis joined Texaco in Bellaire, Texas , working as a petroleum engineer in tertiary oil recovery; University of Alabama Huntsville; She received a Master of Science degree in 1983 and a doctorate in 1985, both in mechanical engineering at the University of Alabama in Huntsville; Davis did her graduate research at the University of Alabama in Huntsville, studying the long-term strength of pressure vessels due to theviscoelasticcharacteristics of filament-woundcomposites; - Engineering career
  - After graduating from Auburn University in 1977, Davis joined Texaco in Bellaire, Texas , working as a petroleum engineer in tertiary oil recovery",Aerospace Engineer; Commander; Cosmonaut; General; Astronaut,673 hours in space,,American,1953
283,178,"Davis, Nancy Jan",female,1953,U.S.,True,NASA- 12,1987,3,MSP,1997,STS-85,STS-85,STS-85,STS-85,284.0,673.0,0.0,0.0,Nancy Jan Davis,United States,Woman,"STS-47 (1992), STS-60 (1994), STS-85 (1997)",3,028:02:06,"Phd; Phd ); Bachelor Of Science; Doctorate In 1985, Both In Mechanical Engineering At The Un; Doctorate","- After graduating from Auburn University in 1977, Davis joined Texaco in Bellaire, Texas , working as a petroleum engineer in tertiary oil recovery; University of Alabama Huntsville; She received a Master of Science degree in 1983 and a doctorate in 1985, both in mechanical engineering at the University of Alabama in Huntsville; Davis did her graduate research at the University of Alabama in Huntsville, studying the long-term strength of pressure vessels due to theviscoelasticcharacteristics of filament-woundcomposites; - Engineering career
  - After graduating from Auburn University in 1977, Davis joined Texaco in Bellaire, Texas , working as a petroleum engineer in tertiary oil recovery",Aerospace Engineer; Commander; Cosmonaut; General; Astronaut,673 hours in space,,American,1953
284,179,"Jemison, Mae C.",female,1956,U.S.,True,NASA- 12,1987,1,MSP,1992,STS-47,STS-47,STS-47,STS-47,190.5,190.5,0.0,0.0,Mae C. Jemison,United States,Woman,STS-47 (1992),1,007:22:30,B.A.; Doctoratesand Has Been Inducted Into Thenational Women'S Ha; B.S.; Doctorates; Doctorates And Has Been Inducted Into The National Women'S,"[16]
After graduating from Chicago'sMorgan Park High Schoolin 1973,[12]Jemison enteredStanford Universityat the age of 16; [45][50]Jemison continues to advocate strongly in favor of science education and getting minority students interested in science; Bluford Drew Jemison STEM Academy; - From 1999 to 2005, Jemison was appointed an Andrew Dickson White Professor-at-Large at Cornell University; Harvey Mudd College",Professor; Scientist; Lieutenant; General; Captain,None,"in space; in science, she did not always see the same support from her teachers; in space and first considered applying to nasa",American,1956
285,2,"Mohri, Mamoru",male,1948,Japan,True,NASDA-1,1985,2,PSP,1992,STS-47,STS-47,STS-47,STS-47,190.5,190.5,0.0,0.0,Mamoru Mohri,Japan,Man,"STS-47 (1992), STS-99 (2000)",2,019:04:10,Phd; Phd Degree In Chemistry From Flinders University In A,"Honours
On 16 March 2006 Mohri was appointed an Honorary Member of theOrder of Australia(AM), “for service to Australia-Japan education and science relations; From 1975 to 1985, Mohri was a member of thenuclear engineeringfacultyof Hokkaido University, where he worked onnuclear fusion-related projects; - On 16 March 2006 Mohri was appointed an Honorary Member of the Order of Australia (AM), “for service to Australia-Japan education and science relations; From 1975 to 1985, Mohri was a member of the nuclear engineering faculty of Hokkaido University, where he worked on nuclear fusion -related projects; - Honours
  - On 16 March 2006 Mohri was appointed an Honorary Member of the Order of Australia (AM), “for service to Australia-Japan education and science relations",General; Scientist; Astronaut,None,,Japanese,1948
285,2,"Mohri, Mamoru",male,1948,Japan,True,NASDA-1,1985,2,MSP,2000,STS-99,STS-99,STS-99,STS-99,269.7,190.5,0.0,0.0,Mamoru Mohri,Japan,Man,"STS-47 (1992), STS-99 (2000)",2,019:04:10,Phd; Phd Degree In Chemistry From Flinders University In A,"Honours
On 16 March 2006 Mohri was appointed an Honorary Member of theOrder of Australia(AM), “for service to Australia-Japan education and science relations; From 1975 to 1985, Mohri was a member of thenuclear engineeringfacultyof Hokkaido University, where he worked onnuclear fusion-related projects; - On 16 March 2006 Mohri was appointed an Honorary Member of the Order of Australia (AM), “for service to Australia-Japan education and science relations; From 1975 to 1985, Mohri was a member of the nuclear engineering faculty of Hokkaido University, where he worked on nuclear fusion -related projects; - Honours
  - On 16 March 2006 Mohri was appointed an Honorary Member of the Order of Australia (AM), “for service to Australia-Japan education and science relations",General; Scientist; Astronaut,None,,Japanese,1948
286,3,Steven MacLean,male,1954,Canada,True,1983 NRC Group,1983,2,PSP,1992,STS-52,STS-52,STS-52,STS-52,236.93,520.03,0.0,7.18,Steven MacLean,Canada,Man,"STS-52 (1992), STS-115 (2006)",2,021:14:06,,,General; Astronaut,None,,Canadian,1954
286,3,Steven MacLean,male,1954,Canada,True,1983 NRC Group,1983,2,MSP,2006,STS-115,STS-115,STS-115,STS-115,283.1,520.03,7.18,7.18,Steven MacLean,Canada,Man,"STS-52 (1992), STS-115 (2006)",2,021:14:06,,,General; Astronaut,None,,Canadian,1954
287,180,"Clifford, Michael R.",male,1952,U.S.,True,NASA- 13,1990,3,MSP,1992,STS-53,STS-53,STS-53,STS-53,175.0,666.0,0.0,6.03,Michael R. Clifford,United States,Man,"STS-53 (1992), STS-59 (1994), STS-76 (1996)",3,027:18:25,"Master Army Aviator And Logged Over 3,400 Hours Flying I; Bachelor Of Science; Master Army Aviator, He Accumulated More Than 3,400 Flig; Master Army Aviator; Master Of Science","^
                






                  ""History - Ogden City School District""; Clifford was a Master Army Aviator and logged over 3,400 hours flying in a wide variety of fixed and rotary winged aircraft; Clifford is a 1970 graduate of Ben Lomond High School, Ogden; Clifford was aMaster Army Aviatorand logged over 3,400 hours flying in a wide variety of fixed and rotary winged aircraft; American Academy of Neurology",Professor; Commander; Lieutenant; Test Pilot; Colonel,665 hours in space,,American,1952
287,180,"Clifford, Michael R.",male,1952,U.S.,True,NASA- 13,1990,3,MSP,1994,STS-59,STS-59,STS-59,STS-59,270.0,666.0,0.0,6.03,Michael R. Clifford,United States,Man,"STS-53 (1992), STS-59 (1994), STS-76 (1996)",3,027:18:25,"Master Army Aviator And Logged Over 3,400 Hours Flying I; Bachelor Of Science; Master Army Aviator, He Accumulated More Than 3,400 Flig; Master Army Aviator; Master Of Science","^
                






                  ""History - Ogden City School District""; Clifford was a Master Army Aviator and logged over 3,400 hours flying in a wide variety of fixed and rotary winged aircraft; Clifford is a 1970 graduate of Ben Lomond High School, Ogden; Clifford was aMaster Army Aviatorand logged over 3,400 hours flying in a wide variety of fixed and rotary winged aircraft; American Academy of Neurology",Professor; Commander; Lieutenant; Test Pilot; Colonel,665 hours in space,,American,1952
287,180,"Clifford, Michael R.",male,1952,U.S.,True,NASA- 13,1990,3,MSP,1996,STS-76,STS-76,STS-76,STS-76,221.0,666.0,6.03,6.03,Michael R. Clifford,United States,Man,"STS-53 (1992), STS-59 (1994), STS-76 (1996)",3,027:18:25,"Master Army Aviator And Logged Over 3,400 Hours Flying I; Bachelor Of Science; Master Army Aviator, He Accumulated More Than 3,400 Flig; Master Army Aviator; Master Of Science","^
                






                  ""History - Ogden City School District""; Clifford was a Master Army Aviator and logged over 3,400 hours flying in a wide variety of fixed and rotary winged aircraft; Clifford is a 1970 graduate of Ben Lomond High School, Ogden; Clifford was aMaster Army Aviatorand logged over 3,400 hours flying in a wide variety of fixed and rotary winged aircraft; American Academy of Neurology",Professor; Commander; Lieutenant; Test Pilot; Colonel,665 hours in space,,American,1952
288,181,"Helms, Susan J.",female,1958,U.S.,True,NASA- 13,1990,5,MSP,1993,STS-54,STS-54,STS-54,STS-54,143.0,5054.0,0.0,8.93,Susan J. Helms,United States,Woman,"STS-54 (1993), STS-64 (1994), STS-78 (1996), STS-101 (2000), STS-102 (2001)",5,210:23:07,Master Of Science In Aeronautics And Astronautics From; Master Of Science In Aeronautics And Astronautics From S; Bachelor Of Science In Aeronautical Engineering From Theu; Master Of Science In Aeronautics And Astronautics Fromst; Bachelor Of Science In Aeronautical Engineering From The U,"Air Force Academy; Air Force Academyin 1980; - Helms graduated with a bachelor of science in aeronautical engineering from the U; In 2020, she was elected a member of the
          
           National Academy of Engineering
          
          for accomplishments in civil and military space programs; Military career
Helms graduated with a bachelor of science in aeronautical engineering from theU",Flight Engineer; Professor; Commander; Lieutenant; Test Pilot,211 days in space,"piano
           
           and other musical activities,
           
            jogging; piano and other musical activities, jogging , traveling , reading , computers , and cooking; piano and other musical activities, jogging , traveling , reading , computers , and cooking",American,1958
288,181,"Helms, Susan J.",female,1958,U.S.,True,NASA- 13,1990,5,MSP,1994,STS-64,STS-64,STS-64,STS-64,262.0,5054.0,0.0,8.93,Susan J. Helms,United States,Woman,"STS-54 (1993), STS-64 (1994), STS-78 (1996), STS-101 (2000), STS-102 (2001)",5,210:23:07,Master Of Science In Aeronautics And Astronautics From; Master Of Science In Aeronautics And Astronautics From S; Bachelor Of Science In Aeronautical Engineering From Theu; Master Of Science In Aeronautics And Astronautics Fromst; Bachelor Of Science In Aeronautical Engineering From The U,"Air Force Academy; Air Force Academyin 1980; - Helms graduated with a bachelor of science in aeronautical engineering from the U; In 2020, she was elected a member of the
          
           National Academy of Engineering
          
          for accomplishments in civil and military space programs; Military career
Helms graduated with a bachelor of science in aeronautical engineering from theU",Flight Engineer; Professor; Commander; Lieutenant; Test Pilot,211 days in space,"piano
           
           and other musical activities,
           
            jogging; piano and other musical activities, jogging , traveling , reading , computers , and cooking; piano and other musical activities, jogging , traveling , reading , computers , and cooking",American,1958
288,181,"Helms, Susan J.",female,1958,U.S.,True,NASA- 13,1990,5,MSP,1996,STS-78,STS-78,STS-78,STS-78,405.0,5054.0,0.0,8.93,Susan J. Helms,United States,Woman,"STS-54 (1993), STS-64 (1994), STS-78 (1996), STS-101 (2000), STS-102 (2001)",5,210:23:07,Master Of Science In Aeronautics And Astronautics From; Master Of Science In Aeronautics And Astronautics From S; Bachelor Of Science In Aeronautical Engineering From Theu; Master Of Science In Aeronautics And Astronautics Fromst; Bachelor Of Science In Aeronautical Engineering From The U,"Air Force Academy; Air Force Academyin 1980; - Helms graduated with a bachelor of science in aeronautical engineering from the U; In 2020, she was elected a member of the
          
           National Academy of Engineering
          
          for accomplishments in civil and military space programs; Military career
Helms graduated with a bachelor of science in aeronautical engineering from theU",Flight Engineer; Professor; Commander; Lieutenant; Test Pilot,211 days in space,"piano
           
           and other musical activities,
           
            jogging; piano and other musical activities, jogging , traveling , reading , computers , and cooking; piano and other musical activities, jogging , traveling , reading , computers , and cooking",American,1958
288,181,"Helms, Susan J.",female,1958,U.S.,True,NASA- 13,1990,5,MSP,2000,STS-101,STS-101,STS-101,STS-101,237.0,5054.0,0.0,8.93,Susan J. Helms,United States,Woman,"STS-54 (1993), STS-64 (1994), STS-78 (1996), STS-101 (2000), STS-102 (2001)",5,210:23:07,Master Of Science In Aeronautics And Astronautics From; Master Of Science In Aeronautics And Astronautics From S; Bachelor Of Science In Aeronautical Engineering From Theu; Master Of Science In Aeronautics And Astronautics Fromst; Bachelor Of Science In Aeronautical Engineering From The U,"Air Force Academy; Air Force Academyin 1980; - Helms graduated with a bachelor of science in aeronautical engineering from the U; In 2020, she was elected a member of the
          
           National Academy of Engineering
          
          for accomplishments in civil and military space programs; Military career
Helms graduated with a bachelor of science in aeronautical engineering from theU",Flight Engineer; Professor; Commander; Lieutenant; Test Pilot,211 days in space,"piano
           
           and other musical activities,
           
            jogging; piano and other musical activities, jogging , traveling , reading , computers , and cooking; piano and other musical activities, jogging , traveling , reading , computers , and cooking",American,1958
288,181,"Helms, Susan J.",female,1958,U.S.,True,NASA- 13,1990,5,flight engineer,2001,2,STS-102,ISS,STS-105,4007.0,5054.0,8.93,8.93,Susan J. Helms,United States,Woman,"STS-54 (1993), STS-64 (1994), STS-78 (1996), STS-101 (2000), STS-102 (2001)",5,210:23:07,Master Of Science In Aeronautics And Astronautics From; Master Of Science In Aeronautics And Astronautics From S; Bachelor Of Science In Aeronautical Engineering From Theu; Master Of Science In Aeronautics And Astronautics Fromst; Bachelor Of Science In Aeronautical Engineering From The U,"Air Force Academy; Air Force Academyin 1980; - Helms graduated with a bachelor of science in aeronautical engineering from the U; In 2020, she was elected a member of the
          
           National Academy of Engineering
          
          for accomplishments in civil and military space programs; Military career
Helms graduated with a bachelor of science in aeronautical engineering from theU",Flight Engineer; Professor; Commander; Lieutenant; Test Pilot,211 days in space,"piano
           
           and other musical activities,
           
            jogging; piano and other musical activities, jogging , traveling , reading , computers , and cooking; piano and other musical activities, jogging , traveling , reading , computers , and cooking",American,1958
289,75,"Poleshchuk, Aleksandr",male,1953,U.S.S.R/Russia,True,NPOE-9,1989,1,flight engineer,1993,13,Soyuz TM16,Mir,Soyuz TM16,4296.0,4296.72,9.97,9.97,Aleksandr Poleshchuk,Russia,Man,Soyuz TM-16 (1993),1,179:00:43,,"- Biography
  - Born in Cheremkhovo , Irkutsk region , he graduated from the Moscow Aviation Institute in 1977 with a mechanical engineering diploma; - Born in Cheremkhovo , Irkutsk region , he graduated from the Moscow Aviation Institute in 1977 with a mechanical engineering diploma; Biography
Born inCheremkhovo,Irkutsk region, he graduated from theMoscow Aviation Institutein 1977 with a mechanical engineering diploma",Flight Engineer; Cosmonaut; General; Captain; Astronaut,None,,Russian,1953
290,182,"Cockrell, Kenneth D.",male,1950,U.S.,True,NASA- 13,1990,5,MSP,1993,STS-56,STS-56,STS-56,STS-56,222.0,1560.0,0.0,0.0,Kenneth D. Cockrell,United States,Man,"STS-56 (1993), STS-69 (1995), STS-80 (1996), STS-98 (2001), STS-111 (2002)",5,064:12:27,Bachelor'S Degree In Mechanical Engineering From Theuniver; Master'S In Aeronautical Systems From The University Of; Bachelor'S Degree In Mechanical Engineering From The; Bachelor'S Degree In Mechanical Engineering From The Unive; Master'S In Aeronautical Systems From Theuniversity Of W,"He earned a bachelor's degree in mechanical engineering from theUniversity of Texas at Austinin 1972 and received his commission in theUnited States Navythat same year; He graduated from Rockdale High School in nearby Rockdale, Texas , in 1968; The ORFEUS instruments, mounted on the reusableShuttle Pallet Satellite, studied the origin and makeup of stars; He also earned a master's in aeronautical systems from theUniversity of West Floridain 1974; He earned a bachelor's degree in mechanical engineering from the University of Texas at Austin in 1972 and received his commission in the United States Navy that same year",Naval Aviator; Commander; Test Pilot; Cosmonaut; General,560 hours in space,"include: sport flying, snow and water skiing; include: sport flying, snow and water skiing; include: sport flying, snow and water skiing",American,1950
290,182,"Cockrell, Kenneth D.",male,1950,U.S.,True,NASA- 13,1990,5,pilot,1995,STS-69,STS-69,STS-69,STS-69,260.5,1560.0,0.0,0.0,Kenneth D. Cockrell,United States,Man,"STS-56 (1993), STS-69 (1995), STS-80 (1996), STS-98 (2001), STS-111 (2002)",5,064:12:27,Bachelor'S Degree In Mechanical Engineering From Theuniver; Master'S In Aeronautical Systems From The University Of; Bachelor'S Degree In Mechanical Engineering From The; Bachelor'S Degree In Mechanical Engineering From The Unive; Master'S In Aeronautical Systems From Theuniversity Of W,"He earned a bachelor's degree in mechanical engineering from theUniversity of Texas at Austinin 1972 and received his commission in theUnited States Navythat same year; He graduated from Rockdale High School in nearby Rockdale, Texas , in 1968; The ORFEUS instruments, mounted on the reusableShuttle Pallet Satellite, studied the origin and makeup of stars; He also earned a master's in aeronautical systems from theUniversity of West Floridain 1974; He earned a bachelor's degree in mechanical engineering from the University of Texas at Austin in 1972 and received his commission in the United States Navy that same year",Naval Aviator; Commander; Test Pilot; Cosmonaut; General,560 hours in space,"include: sport flying, snow and water skiing; include: sport flying, snow and water skiing; include: sport flying, snow and water skiing",American,1950
290,182,"Cockrell, Kenneth D.",male,1950,U.S.,True,NASA- 13,1990,5,commander,1996,STS-80,STS-80,STS-80,STS-80,424.0,1560.0,0.0,0.0,Kenneth D. Cockrell,United States,Man,"STS-56 (1993), STS-69 (1995), STS-80 (1996), STS-98 (2001), STS-111 (2002)",5,064:12:27,Bachelor'S Degree In Mechanical Engineering From Theuniver; Master'S In Aeronautical Systems From The University Of; Bachelor'S Degree In Mechanical Engineering From The; Bachelor'S Degree In Mechanical Engineering From The Unive; Master'S In Aeronautical Systems From Theuniversity Of W,"He earned a bachelor's degree in mechanical engineering from theUniversity of Texas at Austinin 1972 and received his commission in theUnited States Navythat same year; He graduated from Rockdale High School in nearby Rockdale, Texas , in 1968; The ORFEUS instruments, mounted on the reusableShuttle Pallet Satellite, studied the origin and makeup of stars; He also earned a master's in aeronautical systems from theUniversity of West Floridain 1974; He earned a bachelor's degree in mechanical engineering from the University of Texas at Austin in 1972 and received his commission in the United States Navy that same year",Naval Aviator; Commander; Test Pilot; Cosmonaut; General,560 hours in space,"include: sport flying, snow and water skiing; include: sport flying, snow and water skiing; include: sport flying, snow and water skiing",American,1950
290,182,"Cockrell, Kenneth D.",male,1950,U.S.,True,NASA- 13,1990,5,commander,2001,STS-98,STS-98,STS-98,STS-98,309.0,1560.0,0.0,0.0,Kenneth D. Cockrell,United States,Man,"STS-56 (1993), STS-69 (1995), STS-80 (1996), STS-98 (2001), STS-111 (2002)",5,064:12:27,Bachelor'S Degree In Mechanical Engineering From Theuniver; Master'S In Aeronautical Systems From The University Of; Bachelor'S Degree In Mechanical Engineering From The; Bachelor'S Degree In Mechanical Engineering From The Unive; Master'S In Aeronautical Systems From Theuniversity Of W,"He earned a bachelor's degree in mechanical engineering from theUniversity of Texas at Austinin 1972 and received his commission in theUnited States Navythat same year; He graduated from Rockdale High School in nearby Rockdale, Texas , in 1968; The ORFEUS instruments, mounted on the reusableShuttle Pallet Satellite, studied the origin and makeup of stars; He also earned a master's in aeronautical systems from theUniversity of West Floridain 1974; He earned a bachelor's degree in mechanical engineering from the University of Texas at Austin in 1972 and received his commission in the United States Navy that same year",Naval Aviator; Commander; Test Pilot; Cosmonaut; General,560 hours in space,"include: sport flying, snow and water skiing; include: sport flying, snow and water skiing; include: sport flying, snow and water skiing",American,1950
290,182,"Cockrell, Kenneth D.",male,1950,U.S.,True,NASA- 13,1990,5,commander,2002,STS-111,STS-111,STS-111,STS-111,333.0,1560.0,0.0,0.0,Kenneth D. Cockrell,United States,Man,"STS-56 (1993), STS-69 (1995), STS-80 (1996), STS-98 (2001), STS-111 (2002)",5,064:12:27,Bachelor'S Degree In Mechanical Engineering From Theuniver; Master'S In Aeronautical Systems From The University Of; Bachelor'S Degree In Mechanical Engineering From The; Bachelor'S Degree In Mechanical Engineering From The Unive; Master'S In Aeronautical Systems From Theuniversity Of W,"He earned a bachelor's degree in mechanical engineering from theUniversity of Texas at Austinin 1972 and received his commission in theUnited States Navythat same year; He graduated from Rockdale High School in nearby Rockdale, Texas , in 1968; The ORFEUS instruments, mounted on the reusableShuttle Pallet Satellite, studied the origin and makeup of stars; He also earned a master's in aeronautical systems from theUniversity of West Floridain 1974; He earned a bachelor's degree in mechanical engineering from the University of Texas at Austin in 1972 and received his commission in the United States Navy that same year",Naval Aviator; Commander; Test Pilot; Cosmonaut; General,560 hours in space,"include: sport flying, snow and water skiing; include: sport flying, snow and water skiing; include: sport flying, snow and water skiing",American,1950
291,183,"Ochoa, Ellen",female,1958,U.S.,True,NASA-13,1990,4,MSP,1993,STS-56,STS-56,STS-56,STS-56,222.0,978.0,0.0,0.0,Ellen Ochoa,United States,Woman,"STS-56 (1993), STS-66 (1994), STS-96 (1999), STS-110 (2002)",4,040:15:38,"Phd; Bachelor Of Science Degree In Physics Fromsan Diego State; Doctorate Awarded To Ellen Ochoa""; Doctorate Fromstanford Department Of Electrical Engineering; Phd )","- ^""Ochoa Middle School""; [26]Union Public Schools in Tulsa named a new elementary school after her as well,[27]as did the school system in Passaic, New Jersey; While an undergraduate at San Diego State University, she played the flute for two years as part of the university marching band and for five years as a member of the university wind ensemble; - ^""Honorary Doctorate Awarded to Ellen Ochoa""; [6]
Ochoa graduated fromGrossmont High SchoolinEl Cajonin 1975",Flight Engineer; Commander; Researcher; General; Major,1000 hours in space,,American,1958
291,183,"Ochoa, Ellen",female,1958,U.S.,True,NASA-13,1990,4,MSP,1994,STS-66,STS-66,STS-66,STS-66,263.0,978.0,0.0,0.0,Ellen Ochoa,United States,Woman,"STS-56 (1993), STS-66 (1994), STS-96 (1999), STS-110 (2002)",4,040:15:38,"Phd; Bachelor Of Science Degree In Physics Fromsan Diego State; Doctorate Awarded To Ellen Ochoa""; Doctorate Fromstanford Department Of Electrical Engineering; Phd )","- ^""Ochoa Middle School""; [26]Union Public Schools in Tulsa named a new elementary school after her as well,[27]as did the school system in Passaic, New Jersey; While an undergraduate at San Diego State University, she played the flute for two years as part of the university marching band and for five years as a member of the university wind ensemble; - ^""Honorary Doctorate Awarded to Ellen Ochoa""; [6]
Ochoa graduated fromGrossmont High SchoolinEl Cajonin 1975",Flight Engineer; Commander; Researcher; General; Major,1000 hours in space,,American,1958
291,183,"Ochoa, Ellen",female,1958,U.S.,True,NASA-13,1990,4,MSP,1999,STS-96,STS-96,STS-96,STS-96,235.0,978.0,0.0,0.0,Ellen Ochoa,United States,Woman,"STS-56 (1993), STS-66 (1994), STS-96 (1999), STS-110 (2002)",4,040:15:38,"Phd; Bachelor Of Science Degree In Physics Fromsan Diego State; Doctorate Awarded To Ellen Ochoa""; Doctorate Fromstanford Department Of Electrical Engineering; Phd )","- ^""Ochoa Middle School""; [26]Union Public Schools in Tulsa named a new elementary school after her as well,[27]as did the school system in Passaic, New Jersey; While an undergraduate at San Diego State University, she played the flute for two years as part of the university marching band and for five years as a member of the university wind ensemble; - ^""Honorary Doctorate Awarded to Ellen Ochoa""; [6]
Ochoa graduated fromGrossmont High SchoolinEl Cajonin 1975",Flight Engineer; Commander; Researcher; General; Major,1000 hours in space,,American,1958
291,183,"Ochoa, Ellen",female,1958,U.S.,True,NASA-13,1990,4,MSP,2002,STS-110,STS-110,STS-110,STS-110,260.0,978.0,0.0,0.0,Ellen Ochoa,United States,Woman,"STS-56 (1993), STS-66 (1994), STS-96 (1999), STS-110 (2002)",4,040:15:38,"Phd; Bachelor Of Science Degree In Physics Fromsan Diego State; Doctorate Awarded To Ellen Ochoa""; Doctorate Fromstanford Department Of Electrical Engineering; Phd )","- ^""Ochoa Middle School""; [26]Union Public Schools in Tulsa named a new elementary school after her as well,[27]as did the school system in Passaic, New Jersey; While an undergraduate at San Diego State University, she played the flute for two years as part of the university marching band and for five years as a member of the university wind ensemble; - ^""Honorary Doctorate Awarded to Ellen Ochoa""; [6]
Ochoa graduated fromGrossmont High SchoolinEl Cajonin 1975",Flight Engineer; Commander; Researcher; General; Major,1000 hours in space,,American,1958
292,184,"Precourt, Charles J., Jr.",male,1955,U.S.,True,NASA-13,1990,4,MSP,1993,STS-55,STS-55,STS-55,STS-55,240.0,932.0,0.0,0.0,Precourt Charles J. Jr.,,,,,,,"6 degrees
- Period: 88; 5 degrees per axis; During the SAREX portion of the flight, the crew contacted several schools; - During the SAREX portion of the flight, the crew contacted several schools; 6 degrees
            




              Period
             


             88",Flight Engineer; Commander; Physicist; General; Physician,100 days in space,,German,1950
